Round,Accuracy
25,0.35
26,0.38
27,0.68
28,0.73
29,0.71
30,0.73
31,0.21
32,0.39
33,0.48
34,0.69
35,0.68
36,0.48
37,0.49
38,0.69
39,1.58
40,2.88
41,2.13
42,2.42
43,2.72
44,2.07
45,3.1
46,2.66
47,2.85
48,3.16
49,3.6
50,4.3
51,3.49
52,2.87
53,2.03
54,3.6
55,4.28
56,4.08
57,3.52
58,3.35
59,3.37
60,3.59
61,3.85
62,4.04
63,4.17
64,3.58
65,4.12
66,5.36
67,4.19
68,3.89
69,3.68
70,3.8
71,3.78
72,3.67
73,3.87
74,4.06
75,3.77
76,4.32
77,4.56
78,4.22
79,4.03
80,3.95
81,3.93
82,4.07
83,4.52
84,4.43
85,4.08
86,4.22
87,4.32
88,4.06
89,3.89
90,4.44
91,4.83
92,4.71
93,4.62
94,4.32
95,4.27
96,3.91
97,3.8
98,4.19
99,4.49
100,4.64
