Round,Accuracy
20,35.12
21,39.71
22,40.44
23,41.6
24,42.87
25,39.8
26,42.92
27,43.53
28,45.45
29,45.7
30,46.73
31,45.95
32,45.43
33,47.43
34,47.04
35,47.58
36,46.07
37,46.87
38,49.04
39,46.53
40,47.74
41,48.32
42,48.62
43,48.42
44,48.84
45,46.0
46,49.21
47,49.0
48,49.77
49,50.3
50,49.18
51,49.21
52,49.27
53,50.87
54,51.58
55,49.43
56,52.26
57,51.47
58,50.81
59,50.92
60,51.37
61,52.25
62,52.07
63,52.11
64,53.58
65,53.66
66,54.27
67,53.43
68,53.87
69,51.64
70,51.97
