Round,Accuracy
20,60.43
21,64.35
22,64.77
23,68.63
24,70.37
25,70.84
26,70.84
27,68.36
28,68.84
29,71.7
30,69.87
31,70.92
32,70.83
33,69.68
34,69.54
35,71.75
36,70.13
37,69.53
38,71.16
39,70.57
40,71.62
41,70.61
42,70.27
43,71.29
44,71.67
45,72.51
46,72.46
47,72.2
48,72.43
49,72.59
50,73.21
51,73.01
52,72.78
53,72.69
54,72.56
55,73.31
56,73.04
57,72.18
58,72.22
59,73.89
60,72.34
61,73.97
62,73.68
63,74.7
64,73.86
65,73.41
66,74.25
67,74.51
68,73.47
69,73.89
70,73.89
