Round,Accuracy
20,59.9
21,63.91
22,64.1
23,67.89
24,69.64
25,69.98
26,70.19
27,67.96
28,68.71
29,71.2
30,69.66
31,70.53
32,70.38
33,69.61
34,69.3
35,71.4
36,69.88
37,69.26
38,70.93
39,70.27
40,71.36
41,70.4
42,70.16
43,71.18
44,71.49
45,72.02
46,72.19
47,71.93
48,72.19
49,72.38
50,72.79
51,72.7
52,72.53
53,72.43
54,72.4
55,73.0
56,72.94
57,72.15
58,72.1
59,73.49
60,72.25
61,73.82
62,73.5
63,74.38
64,73.7
65,73.36
66,74.12
67,74.27
68,73.43
69,73.71
70,73.65
