Round,Accuracy
20,85.29
21,84.07
22,82.57
23,87.44
24,89.61
25,88.65
26,88.96
27,90.7
28,89.98
29,89.83
30,89.42
31,86.16
32,88.6
33,90.17
34,90.21
35,90.53
36,89.75
37,89.82
38,89.64
39,89.16
40,91.01
41,90.62
42,91.3
43,88.98
44,89.87
45,90.47
46,90.47
47,89.87
48,89.99
49,91.24
50,91.25
51,92.63
52,91.21
53,90.65
54,89.84
55,89.68
56,89.57
57,90.52
58,90.36
59,90.76
60,91.52
61,91.0
62,93.07
63,92.3
64,92.03
65,92.02
66,92.78
67,91.45
68,89.88
69,92.02
70,93.66
