Round,Dataset,Local_Class,Accuracy
1,MNIST,0,99.44
1,MNIST,1,98.55
1,MNIST,2,98.3
1,MNIST,3,94.78
1,MNIST,4,94.4
1,MNIST,5,90.01
1,MNIST,6,98.62
1,MNIST,7,94.87
1,MNIST,8,96.84
1,MNIST,9,96.84
1,EMNIST,0,81.31
1,EMNIST,1,97.15
1,EMNIST,2,97.23
1,EMNIST,3,96.3
1,EMNIST,4,90.0
1,EMNIST,5,94.34
1,EMNIST,6,96.28
1,EMNIST,7,95.04
1,EMNIST,8,93.69
1,EMNIST,9,88.39
1,EMNIST,10,94.2
1,EMNIST,11,70.68
1,EMNIST,12,37.07
1,EMNIST,13,54.3
1,EMNIST,14,86.69
1,EMNIST,15,55.95
1,EMNIST,16,80.84
1,EMNIST,17,83.76
1,EMNIST,18,7.84
1,EMNIST,19,79.82
1,EMNIST,20,18.97
1,EMNIST,21,66.21
1,EMNIST,22,4.0
1,EMNIST,23,88.93
1,EMNIST,24,4.6
1,EMNIST,25,77.24
1,EMNIST,26,93.09
1,EMNIST,27,80.98
1,EMNIST,28,11.03
1,EMNIST,29,88.35
1,EMNIST,30,54.89
1,EMNIST,31,61.6
1,EMNIST,32,85.54
1,EMNIST,33,88.3
1,EMNIST,34,59.78
1,EMNIST,35,7.11
1,EMNIST,36,78.93
1,EMNIST,37,36.08
1,EMNIST,38,63.87
1,EMNIST,39,92.48
1,EMNIST,40,87.34
1,EMNIST,41,52.75
1,EMNIST,42,50.93
1,EMNIST,43,84.09
1,EMNIST,44,49.1
1,EMNIST,45,55.02
1,EMNIST,46,83.73
1,EMNIST,47,0.0
1,EMNIST,48,98.1
1,EMNIST,49,88.7
1,EMNIST,50,34.67
1,EMNIST,51,52.24
1,EMNIST,52,42.39
1,EMNIST,53,87.35
1,EMNIST,54,16.33
1,EMNIST,55,80.71
1,EMNIST,56,57.4
1,EMNIST,57,12.44
1,EMNIST,58,38.82
1,EMNIST,59,33.18
1,EMNIST,60,40.35
1,EMNIST,61,16.1
1,CIFAR10,0,73.08
1,CIFAR10,1,29.34
1,CIFAR10,2,8.13
1,CIFAR10,3,11.21
1,CIFAR10,4,0.0
1,CIFAR10,5,2.42
1,CIFAR10,6,54.07
1,CIFAR10,7,60.44
1,CIFAR10,8,21.54
1,CIFAR10,9,33.96
2,MNIST,0,95.74
2,MNIST,1,92.25
2,MNIST,2,66.67
2,MNIST,3,100.0
2,MNIST,4,90.03
2,MNIST,5,48.46
2,MNIST,6,95.98
2,MNIST,7,95.61
2,MNIST,8,59.82
2,MNIST,9,94.01
2,EMNIST,0,51.93
2,EMNIST,1,62.97
2,EMNIST,2,60.16
2,EMNIST,3,99.43
2,EMNIST,4,82.87
2,EMNIST,5,48.06
2,EMNIST,6,86.56
2,EMNIST,7,97.74
2,EMNIST,8,50.48
2,EMNIST,9,81.06
2,EMNIST,10,95.24
2,EMNIST,11,75.25
2,EMNIST,12,2.02
2,EMNIST,13,75.46
2,EMNIST,14,94.19
2,EMNIST,15,66.18
2,EMNIST,16,91.89
2,EMNIST,17,93.25
2,EMNIST,18,9.88
2,EMNIST,19,64.04
2,EMNIST,20,62.64
2,EMNIST,21,94.03
2,EMNIST,22,27.41
2,EMNIST,23,92.19
2,EMNIST,24,0.0
2,EMNIST,25,16.3
2,EMNIST,26,72.34
2,EMNIST,27,86.14
2,EMNIST,28,11.19
2,EMNIST,29,94.98
2,EMNIST,30,84.67
2,EMNIST,31,27.35
2,EMNIST,32,72.31
2,EMNIST,33,63.1
2,EMNIST,34,76.31
2,EMNIST,35,19.67
2,EMNIST,36,93.31
2,EMNIST,37,79.12
2,EMNIST,38,95.42
2,EMNIST,39,85.23
2,EMNIST,40,95.22
2,EMNIST,41,56.59
2,EMNIST,42,70.71
2,EMNIST,43,83.57
2,EMNIST,44,87.92
2,EMNIST,45,81.66
2,EMNIST,46,50.71
2,EMNIST,47,10.41
2,EMNIST,48,89.34
2,EMNIST,49,91.54
2,EMNIST,50,74.29
2,EMNIST,51,91.64
2,EMNIST,52,29.35
2,EMNIST,53,88.63
2,EMNIST,54,88.44
2,EMNIST,55,86.28
2,EMNIST,56,14.35
2,EMNIST,57,43.19
2,EMNIST,58,80.0
2,EMNIST,59,73.36
2,EMNIST,60,46.69
2,EMNIST,61,94.39
2,CIFAR10,0,54.4
2,CIFAR10,1,70.22
2,CIFAR10,2,1.43
2,CIFAR10,3,11.1
2,CIFAR10,4,10.11
2,CIFAR10,5,35.82
2,CIFAR10,6,79.89
2,CIFAR10,7,35.93
2,CIFAR10,8,43.41
2,CIFAR10,9,29.45
3,MNIST,0,96.18
3,MNIST,1,96.9
3,MNIST,2,97.02
3,MNIST,3,97.61
3,MNIST,4,95.3
3,MNIST,5,97.9
3,MNIST,6,94.83
3,MNIST,7,91.76
3,MNIST,8,96.28
3,MNIST,9,92.92
3,EMNIST,0,22.29
3,EMNIST,1,37.17
3,EMNIST,2,93.48
3,EMNIST,3,96.66
3,EMNIST,4,85.81
3,EMNIST,5,90.51
3,EMNIST,6,79.26
3,EMNIST,7,95.84
3,EMNIST,8,91.0
3,EMNIST,9,86.71
3,EMNIST,10,92.44
3,EMNIST,11,92.88
3,EMNIST,12,51.11
3,EMNIST,13,93.23
3,EMNIST,14,94.7
3,EMNIST,15,42.06
3,EMNIST,16,76.66
3,EMNIST,17,91.56
3,EMNIST,18,22.18
3,EMNIST,19,67.02
3,EMNIST,20,87.93
3,EMNIST,21,81.28
3,EMNIST,22,23.11
3,EMNIST,23,99.19
3,EMNIST,24,36.28
3,EMNIST,25,4.8
3,EMNIST,26,91.22
3,EMNIST,27,96.06
3,EMNIST,28,75.33
3,EMNIST,29,89.25
3,EMNIST,30,29.4
3,EMNIST,31,20.3
3,EMNIST,32,21.69
3,EMNIST,33,21.37
3,EMNIST,34,36.23
3,EMNIST,35,46.45
3,EMNIST,36,83.55
3,EMNIST,37,92.53
3,EMNIST,38,62.85
3,EMNIST,39,96.93
3,EMNIST,40,96.59
3,EMNIST,41,71.15
3,EMNIST,42,61.38
3,EMNIST,43,94.13
