Round,Dataset,Local_Class,Accuracy
20,MNIST,0,85.97
20,MNIST,1,94.67
20,MNIST,2,86.26
20,MNIST,3,77.04
20,MNIST,4,96.75
20,MNIST,5,94.94
20,MNIST,6,97.7
20,MNIST,7,89.41
20,MNIST,8,93.57
20,MNIST,9,92.81
20,EMNIST,0,55.47
20,EMNIST,1,89.82
20,EMNIST,2,74.34
20,EMNIST,3,82.55
20,EMNIST,4,86.4
20,EMNIST,5,92.69
20,EMNIST,6,94.6
20,EMNIST,7,84.61
20,EMNIST,8,89.59
20,EMNIST,9,10.91
20,EMNIST,10,94.1
20,EMNIST,11,81.53
20,EMNIST,12,45.35
20,EMNIST,13,43.16
20,EMNIST,14,94.96
20,EMNIST,15,47.63
20,EMNIST,16,87.47
20,EMNIST,17,94.3
20,EMNIST,18,5.05
20,EMNIST,19,37.19
20,EMNIST,20,93.97
20,EMNIST,21,76.93
20,EMNIST,22,96.15
20,EMNIST,23,91.78
20,EMNIST,24,37.36
20,EMNIST,25,91.89
20,EMNIST,26,94.15
20,EMNIST,27,87.36
20,EMNIST,28,0.13
20,EMNIST,29,90.23
20,EMNIST,30,2.53
20,EMNIST,31,24.17
20,EMNIST,32,84.17
20,EMNIST,33,94.66
20,EMNIST,34,78.65
20,EMNIST,35,73.93
20,EMNIST,36,49.9
20,EMNIST,37,42.53
20,EMNIST,38,0.25
20,EMNIST,39,84.44
20,EMNIST,40,64.49
20,EMNIST,41,75.27
20,EMNIST,42,13.43
20,EMNIST,43,87.58
20,EMNIST,44,30.59
20,EMNIST,45,56.4
20,EMNIST,46,15.33
20,EMNIST,47,7.29
20,EMNIST,48,0.0
20,EMNIST,49,72.54
20,EMNIST,50,0.0
20,EMNIST,51,1.79
20,EMNIST,52,77.61
20,EMNIST,53,80.9
20,EMNIST,54,2.01
20,EMNIST,55,46.29
20,EMNIST,56,82.69
20,EMNIST,57,67.84
20,EMNIST,58,49.41
20,EMNIST,59,8.41
20,EMNIST,60,14.7
20,EMNIST,61,56.34
20,CIFAR10,0,62.2
20,CIFAR10,1,59.89
20,CIFAR10,2,18.46
20,CIFAR10,3,0.11
20,CIFAR10,4,24.51
20,CIFAR10,5,61.87
20,CIFAR10,6,0.0
20,CIFAR10,7,13.19
20,CIFAR10,8,0.0
20,CIFAR10,9,18.46
21,MNIST,0,95.29
21,MNIST,1,97.19
21,MNIST,2,88.07
21,MNIST,3,96.95
21,MNIST,4,93.06
21,MNIST,5,94.33
21,MNIST,6,95.87
21,MNIST,7,94.65
21,MNIST,8,95.03
21,MNIST,9,97.82
21,EMNIST,0,60.33
21,EMNIST,1,71.87
21,EMNIST,2,77.66
21,EMNIST,3,93.62
21,EMNIST,4,80.64
21,EMNIST,5,87.43
21,EMNIST,6,82.26
21,EMNIST,7,93.26
21,EMNIST,8,88.97
21,EMNIST,9,90.81
21,EMNIST,10,96.48
21,EMNIST,11,94.75
21,EMNIST,12,80.71
21,EMNIST,13,88.58
21,EMNIST,14,92.64
21,EMNIST,15,54.35
21,EMNIST,16,74.94
21,EMNIST,17,94.73
21,EMNIST,18,10.63
21,EMNIST,19,59.47
21,EMNIST,20,61.78
21,EMNIST,21,87.52
21,EMNIST,22,24.07
21,EMNIST,23,89.1
21,EMNIST,24,17.02
21,EMNIST,25,94.8
21,EMNIST,26,93.88
21,EMNIST,27,88.86
21,EMNIST,28,3.86
21,EMNIST,29,85.55
21,EMNIST,30,7.03
21,EMNIST,31,13.81
21,EMNIST,32,41.61
21,EMNIST,33,94.91
21,EMNIST,34,77.13
21,EMNIST,35,61.61
21,EMNIST,36,67.09
21,EMNIST,37,84.02
21,EMNIST,38,3.82
21,EMNIST,39,85.82
21,EMNIST,40,78.6
21,EMNIST,41,67.03
21,EMNIST,42,52.24
21,EMNIST,43,94.72
21,EMNIST,44,73.26
21,EMNIST,45,57.79
21,EMNIST,46,65.33
21,EMNIST,47,15.36
21,EMNIST,48,86.26
21,EMNIST,49,82.1
21,EMNIST,50,40.09
21,EMNIST,51,15.82
21,EMNIST,52,32.39
21,EMNIST,53,91.47
21,EMNIST,54,59.3
21,EMNIST,55,69.51
21,EMNIST,56,67.65
21,EMNIST,57,86.62
21,EMNIST,58,88.0
21,EMNIST,59,9.81
21,EMNIST,60,40.35
21,EMNIST,61,72.68
21,CIFAR10,0,30.88
21,CIFAR10,1,25.82
21,CIFAR10,2,4.29
21,CIFAR10,3,11.87
21,CIFAR10,4,33.41
21,CIFAR10,5,26.81
21,CIFAR10,6,58.57
21,CIFAR10,7,35.38
21,CIFAR10,8,75.27
21,CIFAR10,9,14.84
22,MNIST,0,97.19
22,MNIST,1,96.03
22,MNIST,2,91.91
22,MNIST,3,97.06
22,MNIST,4,92.5
22,MNIST,5,98.4
22,MNIST,6,95.52
22,MNIST,7,98.5
22,MNIST,8,81.49
22,MNIST,9,95.53
22,EMNIST,0,63.72
22,EMNIST,1,31.38
22,EMNIST,2,85.36
22,EMNIST,3,97.42
22,EMNIST,4,86.22
22,EMNIST,5,93.16
22,EMNIST,6,83.86
22,EMNIST,7,97.44
22,EMNIST,8,62.08
22,EMNIST,9,88.76
22,EMNIST,10,81.37
22,EMNIST,11,90.51
22,EMNIST,12,94.75
22,EMNIST,13,81.52
22,EMNIST,14,92.76
22,EMNIST,15,64.81
22,EMNIST,16,90.17
22,EMNIST,17,93.46
22,EMNIST,18,14.02
22,EMNIST,19,84.21
22,EMNIST,20,84.2
22,EMNIST,21,86.43
22,EMNIST,22,62.44
22,EMNIST,23,93.73
22,EMNIST,24,6.06
22,EMNIST,25,75.04
22,EMNIST,26,89.89
22,EMNIST,27,89.67
22,EMNIST,28,9.56
22,EMNIST,29,90.86
22,EMNIST,30,80.05
22,EMNIST,31,43.37
22,EMNIST,32,75.31
22,EMNIST,33,40.2
22,EMNIST,34,68.73
22,EMNIST,35,61.14
22,EMNIST,36,75.12
22,EMNIST,37,74.48
22,EMNIST,38,2.8
22,EMNIST,39,85.23
22,EMNIST,40,74.57
22,EMNIST,41,49.45
22,EMNIST,42,46.46
22,EMNIST,43,86.69
22,EMNIST,44,64.01
22,EMNIST,45,62.28
22,EMNIST,46,38.68
22,EMNIST,47,68.24
22,EMNIST,48,46.68
22,EMNIST,49,92.93
22,EMNIST,50,57.55
22,EMNIST,51,48.66
22,EMNIST,52,37.17
22,EMNIST,53,88.77
22,EMNIST,54,57.54
22,EMNIST,55,84.9
22,EMNIST,56,25.51
22,EMNIST,57,64.79
22,EMNIST,58,68.24
22,EMNIST,59,85.98
22,EMNIST,60,36.6
22,EMNIST,61,71.22
22,CIFAR10,0,30.33
22,CIFAR10,1,51.65
22,CIFAR10,2,1.87
22,CIFAR10,3,24.18
