Time: 2026-06-18 12:08:07
Log Dir: logs/2026-06-18_12-08-07/GeFL_DDIM_baseline_total
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_DDIM_baseline_total
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 0
  num_train_cifar100: 0
  num_train_usps: 0
  label_mapping: independent
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 30
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 20
gen_observer_weight: 0.0
index_matching: ddpm
aggregate_method: dataset_name
use_new_entropy_method: true
entropy_ratio: 0.7
cs_threshold: 0.9
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.001
global_samples_per_class: 64

================================================================================

==================================================
Start 30 rounds training by GeFL_DDIM_baseline_total
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 1 ---
Client 0 (MNIST) | Target Loss: 1.0155 | DDIM Loss: 0.1122
Client 1 (MNIST) | Target Loss: 1.4477 | DDIM Loss: 0.1043
Client 2 (MNIST) | Target Loss: 0.8633 | DDIM Loss: 0.1018
Client 3 (MNIST) | Target Loss: 0.4429 | DDIM Loss: 0.1068
Client 4 (MNIST) | Target Loss: 1.6371 | DDIM Loss: 0.1010
Client 5 (MNIST) | Target Loss: 1.7502 | DDIM Loss: 0.1055
Client 6 (MNIST) | Target Loss: 1.4889 | DDIM Loss: 0.1008
Client 7 (MNIST) | Target Loss: 1.3619 | DDIM Loss: 0.0997
Client 8 (MNIST) | Target Loss: 1.7075 | DDIM Loss: 0.1094
Client 9 (MNIST) | Target Loss: 1.9422 | DDIM Loss: 0.1039
Client 11 (EMNIST) | Target Loss: 1.2016 | DDIM Loss: 0.0270
Client 12 (EMNIST) | Target Loss: 1.3124 | DDIM Loss: 0.0272
Client 13 (EMNIST) | Target Loss: 0.9189 | DDIM Loss: 0.0264
Client 14 (EMNIST) | Target Loss: 0.7588 | DDIM Loss: 0.0260
Client 15 (EMNIST) | Target Loss: 1.4689 | DDIM Loss: 0.0295
Client 16 (EMNIST) | Target Loss: 2.0775 | DDIM Loss: 0.0257
Client 17 (EMNIST) | Target Loss: 1.2556 | DDIM Loss: 0.0264
Client 18 (EMNIST) | Target Loss: 1.1952 | DDIM Loss: 0.0271
Client 19 (EMNIST) | Target Loss: 1.6406 | DDIM Loss: 0.0264
Client 20 (EMNIST) | Target Loss: 1.8232 | DDIM Loss: 0.0266
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 2 ---
