Round,Dataset,Local_Class,Accuracy
20,MNIST,0,97.87
20,MNIST,1,98.93
20,MNIST,2,97.02
20,MNIST,3,91.95
20,MNIST,4,96.42
20,MNIST,5,97.04
20,MNIST,6,98.51
20,MNIST,7,94.87
20,MNIST,8,95.37
20,MNIST,9,82.24
20,EMNIST,0,96.71
20,EMNIST,1,98.8
20,EMNIST,2,96.81
20,EMNIST,3,88.69
20,EMNIST,4,96.75
20,EMNIST,5,97.12
20,EMNIST,6,97.84
20,EMNIST,7,95.75
20,EMNIST,8,93.81
20,EMNIST,9,44.85
20,EMNIST,10,46.17
20,EMNIST,11,15.25
20,EMNIST,12,10.94
20,EMNIST,13,6.21
20,EMNIST,14,39.92
20,EMNIST,15,2.21
20,EMNIST,16,28.75
20,EMNIST,17,11.6
20,EMNIST,18,0.0
20,EMNIST,19,38.25
20,EMNIST,20,32.47
20,EMNIST,21,42.61
20,EMNIST,22,58.52
20,EMNIST,23,12.53
20,EMNIST,24,0.0
20,EMNIST,25,27.32
20,EMNIST,26,15.16
20,EMNIST,27,4.21
20,EMNIST,28,12.29
20,EMNIST,29,50.17
20,EMNIST,30,10.0
20,EMNIST,31,6.49
20,EMNIST,32,59.07
20,EMNIST,33,17.81
20,EMNIST,34,4.41
20,EMNIST,35,7.35
20,EMNIST,36,24.01
20,EMNIST,37,0.39
20,EMNIST,38,12.98
20,EMNIST,39,62.48
20,EMNIST,40,28.82
20,EMNIST,41,77.47
20,EMNIST,42,0.93
20,EMNIST,43,0.97
20,EMNIST,44,0.0
20,EMNIST,45,57.44
20,EMNIST,46,31.37
20,EMNIST,47,0.0
20,EMNIST,48,23.22
20,EMNIST,49,32.97
20,EMNIST,50,0.0
20,EMNIST,51,36.12
20,EMNIST,52,0.0
20,EMNIST,53,54.55
20,EMNIST,54,1.51
20,EMNIST,55,43.03
20,EMNIST,56,3.19
20,EMNIST,57,11.03
20,EMNIST,58,14.59
20,EMNIST,59,48.13
20,EMNIST,60,1.44
20,EMNIST,61,4.88
20,CIFAR10,0,44.18
20,CIFAR10,1,70.44
20,CIFAR10,2,31.43
20,CIFAR10,3,4.62
20,CIFAR10,4,31.21
20,CIFAR10,5,56.37
20,CIFAR10,6,86.81
20,CIFAR10,7,39.01
20,CIFAR10,8,55.93
20,CIFAR10,9,30.88
