global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.8,0.9954887218045113,0.5714285714285714,0.8977443609022557,0.6666666666666666,0.6733239574890438,8,6,1324,2
5,0.15,0.4,0.9924812030075187,0.2857142857142857,0.6962406015037594,0.3333333333333333,0.3322070943376946,4,10,1320,6
5,0.2,0.5,0.9932330827067669,0.35714285714285715,0.7466165413533834,0.41666666666666663,0.4174863101255319,5,9,1321,5
5,0.25,0.6,0.9954887218045113,0.5,0.7977443609022556,0.5454545454545454,0.5440135294033861,6,6,1324,4
5,0.3,0.6,0.9947368421052631,0.46153846153846156,0.7973684210526315,0.5217391304347826,0.5222080056364614,6,7,1323,4
5,0.35,0.4,0.9909774436090225,0.25,0.6954887218045113,0.3076923076923077,0.30979438309673607,4,12,1318,6
5,0.4,0.6,0.9924812030075187,0.375,0.7962406015037593,0.4615384615384615,0.4694576420773616,6,10,1320,4
5,0.45,0.6,0.9924812030075187,0.375,0.7962406015037593,0.4615384615384615,0.4694576420773616,6,10,1320,4
5,0.5,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
5,0.55,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
5,0.6,0.7,0.9909774436090225,0.3684210526315789,0.8454887218045113,0.48275862068965514,0.5029924677736577,7,12,1318,3
5,0.65,0.6,0.9902255639097745,0.3157894736842105,0.7951127819548872,0.41379310344827586,0.4296508021788044,6,13,1317,4
5,0.7,0.6,0.9917293233082707,0.35294117647058826,0.7958646616541354,0.4444444444444445,0.4550347133888476,6,11,1319,4
5,0.75,0.5,0.9924812030075187,0.3333333333333333,0.7462406015037594,0.4,0.4028672006611057,5,10,1320,5
5,0.8,0.7,0.9917293233082707,0.3888888888888889,0.8458646616541353,0.5,0.5171422572553935,7,11,1319,3
5,0.85,0.7,0.9939849624060151,0.4666666666666667,0.8469924812030075,0.56,0.5677044674964894,7,8,1322,3
5,0.9,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
5,0.95,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
5,1.0,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
10,0.1,0.6,0.9947368421052631,0.46153846153846156,0.7973684210526315,0.5217391304347826,0.5222080056364614,6,7,1323,4
10,0.15,0.7,0.9947368421052631,0.5,0.8473684210526315,0.5833333333333334,0.5880447417012065,7,7,1323,3
10,0.2,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
10,0.25,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
10,0.3,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
10,0.35,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
10,0.4,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
10,0.45,0.7,0.9887218045112782,0.3181818181818182,0.8443609022556391,0.4375,0.4664451778312585,7,15,1315,3
10,0.5,0.8,0.9902255639097745,0.38095238095238093,0.8951127819548872,0.5161290322580645,0.5475765616409976,8,13,1317,2
10,0.55,0.7,0.9909774436090225,0.3684210526315789,0.8454887218045113,0.48275862068965514,0.5029924677736577,7,12,1318,3
10,0.6,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
10,0.65,0.7,0.9932330827067669,0.4375,0.8466165413533835,0.5384615384615384,0.5492892715676744,7,9,1321,3
10,0.7,0.7,0.9902255639097745,0.35,0.8451127819548871,0.4666666666666667,0.4899084127722137,7,13,1317,3
10,0.75,0.7,0.9894736842105263,0.3333333333333333,0.8447368421052631,0.45161290322580644,0.4777618525449998,7,14,1316,3
10,0.8,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
10,0.85,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
10,0.9,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
10,0.95,0.8,0.9894736842105263,0.36363636363636365,0.8947368421052632,0.5000000000000001,0.5346806077760059,8,14,1316,2
10,1.0,0.8,0.9894736842105263,0.36363636363636365,0.8947368421052632,0.5000000000000001,0.5346806077760059,8,14,1316,2
15,0.1,0.5,0.9939849624060151,0.38461538461538464,0.7469924812030075,0.4347826086956522,0.4337429326209294,5,8,1322,5
15,0.15,0.5,0.9917293233082707,0.3125,0.7458646616541353,0.38461538461538464,0.3896260125870488,5,11,1319,5
15,0.2,0.6,0.9909774436090225,0.3333333333333333,0.7954887218045112,0.42857142857142855,0.4418193632638471,6,12,1318,4
15,0.25,0.5,0.9909774436090225,0.29411764705882354,0.7454887218045112,0.37037037037037035,0.37755739243064484,5,12,1318,5
15,0.3,0.6,0.9924812030075187,0.375,0.7962406015037593,0.4615384615384615,0.4694576420773616,6,10,1320,4
15,0.35,0.6,0.9917293233082707,0.35294117647058826,0.7958646616541354,0.4444444444444445,0.4550347133888476,6,11,1319,4
15,0.4,0.6,0.9917293233082707,0.35294117647058826,0.7958646616541354,0.4444444444444445,0.4550347133888476,6,11,1319,4
15,0.45,0.6,0.9902255639097745,0.3157894736842105,0.7951127819548872,0.41379310344827586,0.4296508021788044,6,13,1317,4
15,0.5,0.7,0.9894736842105263,0.3333333333333333,0.8447368421052631,0.45161290322580644,0.4777618525449998,7,14,1316,3
15,0.55,0.6,0.9894736842105263,0.3,0.7947368421052632,0.4,0.41839672724772936,6,14,1316,4
15,0.6,0.6,0.9909774436090225,0.3333333333333333,0.7954887218045112,0.42857142857142855,0.4418193632638471,6,12,1318,4
15,0.65,0.6,0.9924812030075187,0.375,0.7962406015037593,0.4615384615384615,0.4694576420773616,6,10,1320,4
15,0.7,0.8,0.9932330827067669,0.47058823529411764,0.8966165413533835,0.5925925925925927,0.6099893553052531,8,9,1321,2
15,0.75,0.7,0.9924812030075187,0.4117647058823529,0.8462406015037593,0.5185185185185185,0.5325120343470504,7,10,1320,3
15,0.8,0.7,0.9932330827067669,0.4375,0.8466165413533835,0.5384615384615384,0.5492892715676744,7,9,1321,3
15,0.85,0.7,0.9939849624060151,0.4666666666666667,0.8469924812030075,0.56,0.5677044674964894,7,8,1322,3
15,0.9,0.7,0.9917293233082707,0.3888888888888889,0.8458646616541353,0.5,0.5171422572553935,7,11,1319,3
15,0.95,0.7,0.9909774436090225,0.3684210526315789,0.8454887218045113,0.48275862068965514,0.5029924677736577,7,12,1318,3
15,1.0,0.7,0.9909774436090225,0.3684210526315789,0.8454887218045113,0.48275862068965514,0.5029924677736577,7,12,1318,3
20,0.1,0.7,0.9939849624060151,0.4666666666666667,0.8469924812030075,0.56,0.5677044674964894,7,8,1322,3
20,0.15,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
20,0.2,0.7,0.9924812030075187,0.4117647058823529,0.8462406015037593,0.5185185185185185,0.5325120343470504,7,10,1320,3
20,0.25,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
