Round,Dataset,Local_Class,Accuracy
20,MNIST,0,49.05
20,MNIST,1,0.87
20,MNIST,2,63.47
20,MNIST,3,91.51
20,MNIST,4,58.34
20,MNIST,5,34.65
20,MNIST,6,56.26
20,MNIST,7,24.06
20,MNIST,8,78.22
20,MNIST,9,67.86
20,EMNIST,0,24.2
20,EMNIST,1,0.05
20,EMNIST,2,38.4
20,EMNIST,3,65.06
20,EMNIST,4,50.23
20,EMNIST,5,39.61
20,EMNIST,6,45.34
20,EMNIST,7,4.34
20,EMNIST,8,77.58
20,EMNIST,9,16.71
20,EMNIST,10,5.49
20,EMNIST,11,49.32
20,EMNIST,12,7.72
20,EMNIST,13,29.48
20,EMNIST,14,39.53
20,EMNIST,15,18.63
20,EMNIST,16,40.54
20,EMNIST,17,20.04
20,EMNIST,18,0.0
20,EMNIST,19,7.02
20,EMNIST,20,4.6
20,EMNIST,21,0.0
20,EMNIST,22,0.15
20,EMNIST,23,0.98
20,EMNIST,24,13.2
20,EMNIST,25,33.31
20,EMNIST,26,59.57
20,EMNIST,27,19.84
20,EMNIST,28,27.52
20,EMNIST,29,16.26
20,EMNIST,30,2.47
20,EMNIST,31,0.0
20,EMNIST,32,0.14
20,EMNIST,33,15.78
20,EMNIST,34,0.28
20,EMNIST,35,2.13
20,EMNIST,36,35.85
20,EMNIST,37,5.41
20,EMNIST,38,0.0
20,EMNIST,39,0.26
20,EMNIST,40,25.54
20,EMNIST,41,58.52
20,EMNIST,42,34.7
20,EMNIST,43,2.3
20,EMNIST,44,0.0
20,EMNIST,45,0.0
20,EMNIST,46,6.6
20,EMNIST,47,0.17
20,EMNIST,48,0.0
20,EMNIST,49,1.04
20,EMNIST,50,2.12
20,EMNIST,51,3.28
20,EMNIST,52,20.0
20,EMNIST,53,12.42
20,EMNIST,54,31.66
20,EMNIST,55,31.01
20,EMNIST,56,0.23
20,EMNIST,57,0.0
20,EMNIST,58,0.0
20,EMNIST,59,1.17
20,EMNIST,60,9.8
20,EMNIST,61,32.2
21,MNIST,0,15.94
21,MNIST,1,0.0
21,MNIST,2,18.42
21,MNIST,3,41.57
21,MNIST,4,6.27
21,MNIST,5,15.66
21,MNIST,6,39.15
21,MNIST,7,2.67
21,MNIST,8,29.12
21,MNIST,9,5.88
21,EMNIST,0,0.76
21,EMNIST,1,0.0
21,EMNIST,2,14.49
21,EMNIST,3,29.57
21,EMNIST,4,4.25
21,EMNIST,5,14.79
21,EMNIST,6,33.97
21,EMNIST,7,0.84
21,EMNIST,8,42.24
21,EMNIST,9,0.7
21,EMNIST,10,8.8
21,EMNIST,11,83.73
21,EMNIST,12,14.42
21,EMNIST,13,54.87
21,EMNIST,14,82.56
21,EMNIST,15,0.46
21,EMNIST,16,66.83
21,EMNIST,17,76.58
21,EMNIST,18,0.0
21,EMNIST,19,56.84
21,EMNIST,20,14.08
21,EMNIST,21,22.25
21,EMNIST,22,0.52
21,EMNIST,23,3.91
21,EMNIST,24,3.28
21,EMNIST,25,1.57
21,EMNIST,26,56.91
21,EMNIST,27,22.83
21,EMNIST,28,72.1
21,EMNIST,29,1.54
21,EMNIST,30,21.21
21,EMNIST,31,0.97
21,EMNIST,32,0.0
21,EMNIST,33,10.18
21,EMNIST,34,0.83
21,EMNIST,35,1.18
21,EMNIST,36,23.01
21,EMNIST,37,22.94
21,EMNIST,38,25.95
21,EMNIST,39,4.71
21,EMNIST,40,13.2
21,EMNIST,41,7.14
21,EMNIST,42,42.16
21,EMNIST,43,12.27
21,EMNIST,44,49.87
21,EMNIST,45,1.04
21,EMNIST,46,42.22
21,EMNIST,47,0.0
21,EMNIST,48,0.0
21,EMNIST,49,13.79
21,EMNIST,50,15.09
21,EMNIST,51,38.51
21,EMNIST,52,13.04
21,EMNIST,53,3.41
21,EMNIST,54,7.29
21,EMNIST,55,66.02
21,EMNIST,56,2.96
21,EMNIST,57,2.11
21,EMNIST,58,0.0
21,EMNIST,59,36.68
21,EMNIST,60,18.73
21,EMNIST,61,51.22
22,MNIST,0,17.06
22,MNIST,1,1.55
22,MNIST,2,37.91
22,MNIST,3,93.69
22,MNIST,4,51.18
22,MNIST,5,48.83
22,MNIST,6,59.7
22,MNIST,7,23.96
22,MNIST,8,83.97
22,MNIST,9,29.3
22,EMNIST,0,11.36
22,EMNIST,1,0.97
22,EMNIST,2,37.63
22,EMNIST,3,91.49
22,EMNIST,4,40.89
22,EMNIST,5,52.21
22,EMNIST,6,68.36
22,EMNIST,7,7.45
22,EMNIST,8,77.86
22,EMNIST,9,7.47
22,EMNIST,10,32.4
22,EMNIST,11,72.88
22,EMNIST,12,27.7
22,EMNIST,13,36.25
22,EMNIST,14,85.01
22,EMNIST,15,13.51
22,EMNIST,16,88.21
22,EMNIST,17,13.92
22,EMNIST,18,0.48
22,EMNIST,19,52.28
22,EMNIST,20,22.7
22,EMNIST,21,20.9
22,EMNIST,22,0.37
22,EMNIST,23,2.28
22,EMNIST,24,9.05
22,EMNIST,25,37.01
22,EMNIST,26,70.74
22,EMNIST,27,41.03
22,EMNIST,28,7.15
22,EMNIST,29,37.96
22,EMNIST,30,5.99
22,EMNIST,31,0.83
22,EMNIST,32,0.27
22,EMNIST,33,2.8
22,EMNIST,34,3.17
