Round,Dataset,Local_Class,Accuracy
25,MNIST,0,89.0
25,MNIST,1,14.83
25,MNIST,2,97.02
25,MNIST,3,89.66
25,MNIST,4,79.51
25,MNIST,5,92.73
25,MNIST,6,78.53
25,MNIST,7,96.15
25,MNIST,8,82.84
25,MNIST,9,73.97
25,EMNIST,0,83.91
25,EMNIST,1,0.02
25,EMNIST,2,93.82
25,EMNIST,3,2.45
25,EMNIST,4,86.12
25,EMNIST,5,92.16
25,EMNIST,6,0.0
25,EMNIST,7,17.08
25,EMNIST,8,1.27
25,EMNIST,9,20.56
25,EMNIST,10,59.63
25,EMNIST,11,5.42
25,EMNIST,12,4.93
25,EMNIST,13,10.01
25,EMNIST,14,58.66
25,EMNIST,15,33.44
25,EMNIST,16,26.78
25,EMNIST,17,15.82
25,EMNIST,18,0.32
25,EMNIST,19,16.49
25,EMNIST,20,28.74
25,EMNIST,21,26.32
25,EMNIST,22,88.37
25,EMNIST,23,19.69
25,EMNIST,24,2.28
25,EMNIST,25,0.16
25,EMNIST,26,0.27
25,EMNIST,27,36.28
25,EMNIST,28,0.69
25,EMNIST,29,28.96
25,EMNIST,30,30.49
25,EMNIST,31,1.66
25,EMNIST,32,0.0
25,EMNIST,33,0.25
25,EMNIST,34,0.28
25,EMNIST,35,13.74
25,EMNIST,36,42.14
25,EMNIST,37,14.56
25,EMNIST,38,3.05
25,EMNIST,39,15.29
25,EMNIST,40,68.55
25,EMNIST,41,2.75
25,EMNIST,42,0.19
25,EMNIST,43,84.54
25,EMNIST,44,38.56
25,EMNIST,45,87.89
25,EMNIST,46,2.59
25,EMNIST,47,0.0
25,EMNIST,48,0.0
25,EMNIST,49,65.41
25,EMNIST,50,0.71
25,EMNIST,51,11.64
25,EMNIST,52,16.52
25,EMNIST,53,17.39
25,EMNIST,54,43.47
25,EMNIST,55,48.11
25,EMNIST,56,7.74
25,EMNIST,57,18.08
25,EMNIST,58,4.71
25,EMNIST,59,56.54
25,EMNIST,60,2.88
25,EMNIST,61,33.9
25,CIFAR10,0,30.55
25,CIFAR10,1,29.34
25,CIFAR10,2,17.36
25,CIFAR10,3,0.0
25,CIFAR10,4,0.0
25,CIFAR10,5,57.91
25,CIFAR10,6,28.13
25,CIFAR10,7,19.67
25,CIFAR10,8,68.46
25,CIFAR10,9,23.3
26,MNIST,0,86.76
26,MNIST,1,87.98
26,MNIST,2,66.45
26,MNIST,3,72.03
26,MNIST,4,76.26
26,MNIST,5,86.07
26,MNIST,6,49.02
26,MNIST,7,83.21
26,MNIST,8,39.84
26,MNIST,9,69.17
26,EMNIST,0,63.62
26,EMNIST,1,13.36
26,EMNIST,2,64.88
26,EMNIST,3,17.58
26,EMNIST,4,73.95
26,EMNIST,5,90.42
26,EMNIST,6,0.0
26,EMNIST,7,78.5
26,EMNIST,8,56.22
26,EMNIST,9,48.61
26,EMNIST,10,68.32
26,EMNIST,11,51.02
26,EMNIST,12,29.29
26,EMNIST,13,52.75
26,EMNIST,14,71.45
26,EMNIST,15,64.12
26,EMNIST,16,67.81
26,EMNIST,17,65.4
26,EMNIST,18,5.75
26,EMNIST,19,60.7
26,EMNIST,20,37.93
26,EMNIST,21,85.75
26,EMNIST,22,78.81
26,EMNIST,23,76.48
26,EMNIST,24,20.43
26,EMNIST,25,40.71
26,EMNIST,26,8.51
26,EMNIST,27,83.15
26,EMNIST,28,19.34
26,EMNIST,29,83.25
26,EMNIST,30,60.11
26,EMNIST,31,31.63
26,EMNIST,32,0.27
26,EMNIST,33,61.58
26,EMNIST,34,38.29
26,EMNIST,35,47.63
26,EMNIST,36,52.58
26,EMNIST,37,73.07
26,EMNIST,38,35.11
26,EMNIST,39,65.88
26,EMNIST,40,83.66
26,EMNIST,41,17.86
26,EMNIST,42,28.36
26,EMNIST,43,67.66
26,EMNIST,44,66.84
26,EMNIST,45,10.38
26,EMNIST,46,65.57
26,EMNIST,47,40.61
26,EMNIST,48,4.98
26,EMNIST,49,77.52
26,EMNIST,50,38.68
26,EMNIST,51,52.54
26,EMNIST,52,33.7
26,EMNIST,53,86.35
26,EMNIST,54,30.9
26,EMNIST,55,73.22
26,EMNIST,56,16.17
26,EMNIST,57,60.56
26,EMNIST,58,5.41
26,EMNIST,59,21.73
26,EMNIST,60,34.01
26,EMNIST,61,32.68
26,CIFAR10,0,47.03
26,CIFAR10,1,62.97
26,CIFAR10,2,1.21
26,CIFAR10,3,11.1
26,CIFAR10,4,0.77
26,CIFAR10,5,58.24
26,CIFAR10,6,48.57
26,CIFAR10,7,42.86
26,CIFAR10,8,20.55
26,CIFAR10,9,30.55
27,MNIST,0,94.73
27,MNIST,1,93.7
27,MNIST,2,96.49
27,MNIST,3,89.66
27,MNIST,4,90.59
27,MNIST,5,97.53
27,MNIST,6,94.6
27,MNIST,7,88.02
27,MNIST,8,61.74
27,MNIST,9,86.93
27,EMNIST,0,91.01
27,EMNIST,1,0.0
27,EMNIST,2,97.94
27,EMNIST,3,1.2
27,EMNIST,4,91.84
27,EMNIST,5,97.1
27,EMNIST,6,0.0
27,EMNIST,7,14.64
27,EMNIST,8,4.02
27,EMNIST,9,40.15
27,EMNIST,10,19.25
27,EMNIST,11,12.03
27,EMNIST,12,1.9
27,EMNIST,13,10.72
27,EMNIST,14,39.66
27,EMNIST,15,49.69
27,EMNIST,16,32.19
27,EMNIST,17,19.62
27,EMNIST,18,0.0
27,EMNIST,19,31.58
27,EMNIST,20,8.33
27,EMNIST,21,13.7
27,EMNIST,22,76.89
27,EMNIST,23,64.93
27,EMNIST,24,0.64
27,EMNIST,25,11.65
27,EMNIST,26,27.39
27,EMNIST,27,47.28
27,EMNIST,28,0.03
27,EMNIST,29,53.87
27,EMNIST,30,26.04
27,EMNIST,31,2.21
27,EMNIST,32,0.55
27,EMNIST,33,10.94
27,EMNIST,34,0.0
27,EMNIST,35,0.24
27,EMNIST,36,24.21
27,EMNIST,37,0.26
27,EMNIST,38,7.38
27,EMNIST,39,0.0
27,EMNIST,40,39.95
27,EMNIST,41,2.47
27,EMNIST,42,1.68
27,EMNIST,43,98.29
27,EMNIST,44,76.35
27,EMNIST,45,14.53
27,EMNIST,46,2.83
27,EMNIST,47,0.0
27,EMNIST,48,0.71
27,EMNIST,49,35.86
27,EMNIST,50,1.42
27,EMNIST,51,40.9
27,EMNIST,52,5.43
27,EMNIST,53,13.03
27,EMNIST,54,38.94
27,EMNIST,55,44.73
27,EMNIST,56,12.76
27,EMNIST,57,0.23
27,EMNIST,58,2.59
27,EMNIST,59,3.04
27,EMNIST,60,0.58
27,EMNIST,61,0.24
27,CIFAR10,0,52.64
27,CIFAR10,1,63.19
27,CIFAR10,2,12.86
27,CIFAR10,3,13.52
27,CIFAR10,4,25.16
27,CIFAR10,5,26.15
27,CIFAR10,6,59.12
27,CIFAR10,7,54.07
27,CIFAR10,8,22.86
27,CIFAR10,9,29.01
28,MNIST,0,96.63
28,MNIST,1,92.25
28,MNIST,2,94.78
28,MNIST,3,95.97
28,MNIST,4,92.5
28,MNIST,5,94.2
28,MNIST,6,78.76
28,MNIST,7,70.7
28,MNIST,8,88.26
28,MNIST,9,94.12
28,EMNIST,0,86.81
28,EMNIST,1,0.0
28,EMNIST,2,94.23
28,EMNIST,3,22.66
28,EMNIST,4,91.41
28,EMNIST,5,95.97
