Round,Dataset,Local_Class,Accuracy
20,MNIST,0,91.81
20,MNIST,1,90.21
20,MNIST,2,84.56
20,MNIST,3,84.22
20,MNIST,4,82.64
20,MNIST,5,25.03
20,MNIST,6,76.35
20,MNIST,7,57.11
20,MNIST,8,76.98
20,MNIST,9,90.63
20,EMNIST,0,74.76
20,EMNIST,1,17.34
20,EMNIST,2,69.85
20,EMNIST,3,77.13
20,EMNIST,4,83.32
20,EMNIST,5,35.77
20,EMNIST,6,64.76
20,EMNIST,7,67.87
20,EMNIST,8,52.08
20,EMNIST,9,68.18
20,EMNIST,10,57.14
20,EMNIST,11,85.25
20,EMNIST,12,62.62
20,EMNIST,13,66.71
20,EMNIST,14,68.22
20,EMNIST,15,35.04
20,EMNIST,16,83.05
20,EMNIST,17,73.63
20,EMNIST,18,5.53
20,EMNIST,19,52.28
20,EMNIST,20,71.84
20,EMNIST,21,92.4
20,EMNIST,22,13.78
20,EMNIST,23,68.76
20,EMNIST,24,6.93
20,EMNIST,25,77.09
20,EMNIST,26,63.56
20,EMNIST,27,27.04
20,EMNIST,28,53.51
20,EMNIST,29,78.09
20,EMNIST,30,21.04
20,EMNIST,31,1.24
20,EMNIST,32,22.78
20,EMNIST,33,91.09
20,EMNIST,34,0.55
20,EMNIST,35,36.26
20,EMNIST,36,36.32
20,EMNIST,37,75.0
20,EMNIST,38,2.29
20,EMNIST,39,83.79
20,EMNIST,40,49.87
20,EMNIST,41,31.32
20,EMNIST,42,32.28
20,EMNIST,43,66.84
20,EMNIST,44,24.42
20,EMNIST,45,67.13
20,EMNIST,46,29.01
20,EMNIST,47,50.85
20,EMNIST,48,83.89
20,EMNIST,49,49.19
20,EMNIST,50,13.21
20,EMNIST,51,26.87
20,EMNIST,52,25.22
20,EMNIST,53,79.62
20,EMNIST,54,8.04
20,EMNIST,55,43.73
20,EMNIST,56,44.19
20,EMNIST,57,80.99
20,EMNIST,58,56.71
20,EMNIST,59,1.17
20,EMNIST,60,36.89
20,EMNIST,61,17.32
20,CIFAR10,0,0.11
20,CIFAR10,1,0.22
20,CIFAR10,2,0.0
20,CIFAR10,3,0.0
20,CIFAR10,4,0.22
20,CIFAR10,5,0.77
20,CIFAR10,6,0.0
20,CIFAR10,7,88.35
20,CIFAR10,8,0.11
20,CIFAR10,9,0.22
21,MNIST,0,94.16
21,MNIST,1,92.15
21,MNIST,2,71.78
