Round,Dataset,Local_Class,Accuracy
25,MNIST,0,79.8
25,MNIST,1,90.99
25,MNIST,2,89.88
25,MNIST,3,76.17
25,MNIST,4,83.76
25,MNIST,5,0.0
25,MNIST,6,0.0
25,MNIST,7,83.74
25,MNIST,8,26.19
25,MNIST,9,0.0
25,EMNIST,0,79.29
25,EMNIST,1,81.11
25,EMNIST,2,87.39
25,EMNIST,3,76.65
25,EMNIST,4,87.39
25,EMNIST,5,0.25
25,EMNIST,6,0.0
25,EMNIST,7,69.07
25,EMNIST,8,62.21
25,EMNIST,9,0.89
25,EMNIST,10,0.0
25,EMNIST,11,1.53
25,EMNIST,12,0.0
25,EMNIST,13,0.0
25,EMNIST,14,0.0
25,EMNIST,15,0.0
25,EMNIST,16,0.0
25,EMNIST,17,0.0
25,EMNIST,18,0.0
25,EMNIST,19,0.0
25,EMNIST,20,0.0
25,EMNIST,21,0.0
25,EMNIST,22,0.0
25,EMNIST,23,0.0
25,EMNIST,24,0.0
25,EMNIST,25,0.0
25,EMNIST,26,7.18
25,EMNIST,27,0.0
25,EMNIST,28,0.0
25,EMNIST,29,0.0
25,EMNIST,30,0.0
25,EMNIST,31,0.0
25,EMNIST,32,0.0
25,EMNIST,33,0.0
25,EMNIST,34,0.0
25,EMNIST,35,0.0
25,EMNIST,36,0.47
25,EMNIST,37,0.0
25,EMNIST,38,0.0
25,EMNIST,39,0.0
25,EMNIST,40,0.05
25,EMNIST,41,0.55
25,EMNIST,42,0.93
25,EMNIST,43,0.0
25,EMNIST,44,0.0
25,EMNIST,45,0.0
25,EMNIST,46,0.0
25,EMNIST,47,0.0
25,EMNIST,48,0.0
25,EMNIST,49,0.0
25,EMNIST,50,0.0
25,EMNIST,51,0.0
25,EMNIST,52,2.83
25,EMNIST,53,0.0
25,EMNIST,54,0.0
25,EMNIST,55,0.0
25,EMNIST,56,0.0
25,EMNIST,57,0.0
25,EMNIST,58,0.0
25,EMNIST,59,0.0
25,EMNIST,60,0.0
25,EMNIST,61,0.0
25,CIFAR10,0,8.68
25,CIFAR10,1,0.11
25,CIFAR10,2,10.99
25,CIFAR10,3,15.49
25,CIFAR10,4,69.01
25,CIFAR10,5,1.76
25,CIFAR10,6,0.44
25,CIFAR10,7,0.22
25,CIFAR10,8,0.0
25,CIFAR10,9,0.0
26,MNIST,0,83.73
26,MNIST,1,0.0
26,MNIST,2,94.78
26,MNIST,3,91.4
26,MNIST,4,86.23
26,MNIST,5,73.37
26,MNIST,6,5.63
26,MNIST,7,68.13
26,MNIST,8,75.62
26,MNIST,9,0.0
26,EMNIST,0,80.85
26,EMNIST,1,0.36
26,EMNIST,2,95.0
26,EMNIST,3,90.88
26,EMNIST,4,84.26
26,EMNIST,5,64.74
26,EMNIST,6,0.94
26,EMNIST,7,53.31
26,EMNIST,8,82.97
26,EMNIST,9,2.75
26,EMNIST,10,0.0
26,EMNIST,11,1.86
26,EMNIST,12,0.0
26,EMNIST,13,5.36
26,EMNIST,14,0.78
26,EMNIST,15,0.08
26,EMNIST,16,0.0
26,EMNIST,17,0.0
26,EMNIST,18,0.0
26,EMNIST,19,0.0
26,EMNIST,20,0.0
26,EMNIST,21,0.0
26,EMNIST,22,0.3
26,EMNIST,23,0.08
26,EMNIST,24,0.0
26,EMNIST,25,2.36
26,EMNIST,26,1.06
26,EMNIST,27,0.68
26,EMNIST,28,0.0
26,EMNIST,29,0.0
26,EMNIST,30,0.0
26,EMNIST,31,0.0
26,EMNIST,32,0.0
26,EMNIST,33,0.0
26,EMNIST,34,0.0
26,EMNIST,35,1.18
26,EMNIST,36,0.0
26,EMNIST,37,0.0
26,EMNIST,38,0.0
26,EMNIST,39,0.0
26,EMNIST,40,0.0
26,EMNIST,41,0.0
26,EMNIST,42,0.75
26,EMNIST,43,0.0
26,EMNIST,44,0.0
26,EMNIST,45,0.0
26,EMNIST,46,0.24
26,EMNIST,47,0.0
26,EMNIST,48,0.0
26,EMNIST,49,0.0
26,EMNIST,50,0.0
26,EMNIST,51,0.0
26,EMNIST,52,1.96
26,EMNIST,53,0.0
26,EMNIST,54,0.0
26,EMNIST,55,0.0
26,EMNIST,56,0.0
26,EMNIST,57,0.0
26,EMNIST,58,0.0
26,EMNIST,59,0.0
26,EMNIST,60,0.0
26,EMNIST,61,0.0
26,CIFAR10,0,35.93
26,CIFAR10,1,22.2
26,CIFAR10,2,1.1
26,CIFAR10,3,13.96
26,CIFAR10,4,5.38
26,CIFAR10,5,31.54
26,CIFAR10,6,21.98
26,CIFAR10,7,28.79
26,CIFAR10,8,29.12
26,CIFAR10,9,6.26
27,MNIST,0,89.11
