thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.19174964438122333,0.9999967632302962,0.5958732038057597,1348,1,308949,5682
0.15,0.23826458036984352,0.999860818902735,0.6190626996362892,1675,43,308907,5355
0.2,0.29359886201991464,0.9994918271564979,0.6465453445882062,2064,157,308793,4966
0.25,0.3379800853485064,0.9988250525975076,0.668402568973007,2376,363,308587,4654
0.3,0.38762446657183497,0.9983589577601554,0.6929917121659952,2725,507,308443,4305
0.35,0.42859174964438124,0.9978960996925069,0.7132439246684441,3013,650,308300,4017
0.4,0.43854907539118065,0.9971678265091439,0.7178584509501623,3083,875,308075,3947
0.45,0.44679943100995734,0.9972422722123321,0.7220208516111447,3141,852,308098,3889
0.5,0.4597439544807966,0.9969056481631332,0.7283248013219649,3232,956,307994,3798
0.55,0.46102418207681367,0.9966467065868263,0.72883544433182,3241,1036,307914,3789
0.6,0.46344238975817925,0.9969574364783945,0.7301999131182869,3258,940,308010,3772
0.65,0.4669985775248933,0.9964945784107461,0.7317465779678197,3283,1083,307867,3747
0.7,0.47610241820768134,0.994921508334682,0.7355119632711816,3347,1569,307381,3683
0.75,0.4748221906116643,0.9947273021524519,0.7347747463820581,3338,1629,307321,3692
0.8,0.5027027027027027,0.9940993688299078,0.7484010357663052,3534,1823,307127,3496
0.85,0.5073968705547653,0.9922123320925716,0.7498046013236686,3567,2406,306544,3463
0.9,0.5099573257467994,0.9925101149053245,0.751233720326062,3585,2314,306636,3445
0.95,0.5108108108108108,0.9930927334520149,0.7519517721314128,3591,2134,306816,3439
1.0,0.5027027027027027,0.993228677779576,0.7479656902411393,3534,2092,306858,3496
