thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.4,1.0,0.7,4,0,1330,6
0.15,0.7,1.0,0.85,7,0,1330,3
0.2,0.7,1.0,0.85,7,0,1330,3
0.25,0.7,1.0,0.85,7,0,1330,3
0.3,0.8,1.0,0.9,8,0,1330,2
0.35,0.9,1.0,0.95,9,0,1330,1
0.4,0.9,0.9984962406015038,0.9492481203007519,9,2,1328,1
0.45,0.8,0.9984962406015038,0.8992481203007519,8,2,1328,2
0.5,0.7,1.0,0.85,7,0,1330,3
0.55,0.8,1.0,0.9,8,0,1330,2
0.6,0.8,1.0,0.9,8,0,1330,2
0.65,0.8,1.0,0.9,8,0,1330,2
0.7,0.9,1.0,0.95,9,0,1330,1
0.75,0.9,1.0,0.95,9,0,1330,1
0.8,0.8,0.9969924812030075,0.8984962406015038,8,4,1326,2
0.85,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
0.9,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
0.95,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
1.0,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
