thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.0,1.0,0.5,0,0,1330,10
0.3,0.0,1.0,0.5,0,0,1330,10
0.35,0.0,1.0,0.5,0,0,1330,10
0.4,0.0,1.0,0.5,0,0,1330,10
0.45,0.1,1.0,0.55,1,0,1330,9
0.5,0.1,1.0,0.55,1,0,1330,9
0.55,0.1,1.0,0.55,1,0,1330,9
0.6,0.1,1.0,0.55,1,0,1330,9
0.65,0.1,1.0,0.55,1,0,1330,9
0.7,0.1,0.9984962406015038,0.5492481203007519,1,2,1328,9
0.75,0.1,0.9984962406015038,0.5492481203007519,1,2,1328,9
0.8,0.1,0.9984962406015038,0.5492481203007519,1,2,1328,9
0.85,0.1,0.9969924812030075,0.5484962406015038,1,4,1326,9
0.9,0.1,0.9969924812030075,0.5484962406015038,1,4,1326,9
0.95,0.1,0.9969924812030075,0.5484962406015038,1,4,1326,9
1.0,0.1,0.9969924812030075,0.5484962406015038,1,4,1326,9
