Epoch,Accuracy
1,8.92
2,9.74
3,10.100000000000001
4,8.84
5,10.489999999999998
6,9.75
7,9.74
8,9.74
9,9.74
10,9.74
11,9.74
12,9.74
13,9.74
14,9.74
15,9.74
16,9.74
17,10.02
18,9.959999999999999
19,9.879999999999999
20,11.62
21,12.02
22,12.08
23,11.84
24,12.7
25,13.209999999999999
26,13.23
27,13.28
28,14.42
29,15.78
30,16.09
31,15.879999999999999
32,14.38
33,12.370000000000001
34,16.04
35,17.740000000000002
36,16.869999999999997
37,15.85
38,14.66
39,18.44
40,18.75
41,20.36
42,23.990000000000002
43,24.310000000000002
44,22.8
45,10.57
46,11.799999999999999
47,21.34
48,25.47
49,27.58
50,29.270000000000003
51,26.02
52,22.509999999999998
53,23.06
54,23.799999999999997
55,21.47
56,12.55
57,15.9
58,13.44
59,15.879999999999999
60,19.470000000000002
61,31.979999999999997
62,37.769999999999996
63,31.56
64,14.96
65,14.680000000000001
66,15.35
67,14.430000000000001
68,17.169999999999998
69,12.55
70,13.530000000000001
71,16.48
72,19.23
73,21.6
74,23.64
75,30.86
76,33.94
77,35.11
78,34.46
79,18.060000000000002
80,21.38
81,29.24
82,36.42
83,42.47
84,40.550000000000004
85,32.879999999999995
86,30.759999999999998
87,30.459999999999997
88,26.33
89,25.55
90,25.900000000000002
91,27.139999999999997
92,34.93
93,38.769999999999996
94,40.98
95,35.97
96,25.81
97,23.830000000000002
98,27.6
99,27.72
100,45.79
101,49.72
102,43.68
103,35.260000000000005
104,25.53
105,29.349999999999998
106,33.800000000000004
107,40.98
108,45.910000000000004
109,43.97
110,37.26
111,33.87
112,33.629999999999995
113,33.39
114,35.02
115,33.09
116,32.12
117,31.480000000000004
118,25.319999999999997
119,24.05
120,30.490000000000002
