Epoch,Accuracy
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,9.99
7,10.0
8,10.0
9,10.0
10,10.0
11,10.0
12,10.67
13,10.0
14,10.0
15,10.0
16,10.4
17,10.0
18,10.0
19,10.0
20,10.5
21,10.07
22,10.0
23,9.99
24,10.0
25,10.0
26,10.0
27,10.0
28,9.98
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,10.0
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,10.0
49,10.0
50,10.0
51,10.0
52,10.0
53,10.0
54,10.0
55,10.0
56,10.0
57,10.01
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,9.99
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.059999999999999
93,12.620000000000001
94,13.22
95,14.78
96,14.02
97,12.21
98,12.78
99,13.84
100,11.91
101,8.97
102,9.21
103,8.75
104,8.61
105,8.95
106,9.25
107,9.01
108,8.48
109,11.89
110,11.18
111,11.07
112,10.16
113,10.0
114,10.190000000000001
115,10.38
116,10.34
117,10.37
118,10.25
119,10.67
120,9.98
