thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.0,1.0,0.5,0,0,1330,10
0.3,0.0,1.0,0.5,0,0,1330,10
0.35,0.0,1.0,0.5,0,0,1330,10
0.4,0.0,1.0,0.5,0,0,1330,10
0.45,0.0,1.0,0.5,0,0,1330,10
0.5,0.1,1.0,0.55,1,0,1330,9
0.55,0.1,1.0,0.55,1,0,1330,9
0.6,0.1,1.0,0.55,1,0,1330,9
0.65,0.1,1.0,0.55,1,0,1330,9
0.7,0.1,0.9992481203007518,0.5496240601503759,1,1,1329,9
0.75,0.1,0.9992481203007518,0.5496240601503759,1,1,1329,9
0.8,0.1,0.9977443609022556,0.5488721804511278,1,3,1327,9
0.85,0.1,0.9977443609022556,0.5488721804511278,1,3,1327,9
0.9,0.1,0.9977443609022556,0.5488721804511278,1,3,1327,9
0.95,0.1,0.9977443609022556,0.5488721804511278,1,3,1327,9
1.0,0.1,0.9977443609022556,0.5488721804511278,1,3,1327,9
