Epoch,Accuracy
1,14.330000000000002
2,14.99
3,15.09
4,16.86
5,16.85
6,15.709999999999999
7,13.36
8,14.52
9,18.759999999999998
10,16.63
11,15.340000000000002
12,18.96
13,18.69
14,18.5
15,15.440000000000001
16,18.509999999999998
17,20.23
18,19.3
19,18.81
20,20.3
21,13.750000000000002
22,12.959999999999999
23,17.77
24,16.68
25,18.64
26,20.66
27,13.919999999999998
28,17.59
29,18.279999999999998
30,23.76
31,18.34
32,17.64
33,14.35
34,17.72
35,15.32
36,15.989999999999998
37,20.39
38,21.11
39,19.56
40,17.18
41,18.44
42,20.57
43,19.06
44,18.69
45,22.32
46,21.08
47,20.09
48,19.98
49,16.61
50,21.45
51,20.62
52,20.51
53,17.34
54,19.79
55,22.88
56,18.19
57,21.8
58,19.91
59,20.349999999999998
60,15.190000000000001
61,16.63
62,21.63
63,20.91
64,22.99
65,18.77
66,19.66
67,20.47
68,19.75
69,16.220000000000002
70,17.169999999999998
71,21.11
72,20.560000000000002
73,22.08
74,20.599999999999998
75,21.26
76,19.48
77,23.22
78,20.14
79,20.630000000000003
80,20.65
81,21.55
82,24.060000000000002
83,25.290000000000003
84,20.79
85,20.84
86,21.310000000000002
87,21.87
88,19.78
89,20.21
90,19.79
91,21.37
92,26.340000000000003
93,26.72
94,20.21
95,21.19
96,23.18
97,24.240000000000002
98,23.14
99,25.569999999999997
100,24.529999999999998
101,23.22
102,23.87
103,23.79
104,21.16
105,25.990000000000002
106,21.0
107,24.990000000000002
108,22.03
109,22.95
110,25.729999999999997
111,25.34
112,23.89
113,24.14
114,21.279999999999998
115,25.05
116,25.629999999999995
117,26.27
118,26.07
119,25.82
120,26.179999999999996
