Epoch,Accuracy
1,9.82
2,10.11
3,10.100000000000001
4,10.100000000000001
5,10.100000000000001
6,11.42
7,10.02
8,11.559999999999999
9,11.469999999999999
10,10.66
11,10.33
12,10.58
13,15.61
14,17.91
15,16.04
16,10.81
17,10.68
18,10.459999999999999
19,10.67
20,11.59
21,14.05
22,16.88
23,16.400000000000002
24,10.48
25,10.33
26,14.66
27,10.780000000000001
28,10.34
29,19.61
30,15.06
31,19.28
32,11.67
33,15.68
34,11.85
35,12.55
36,10.32
37,26.25
38,20.9
39,20.53
40,27.72
41,13.850000000000001
42,25.990000000000002
43,14.57
44,17.78
45,10.97
46,10.96
47,10.73
48,13.29
49,24.04
50,20.45
51,19.93
52,17.61
53,18.709999999999997
54,35.76
55,30.81
56,27.400000000000002
57,31.230000000000004
58,30.64
59,24.68
60,33.11
61,40.93
62,35.22
63,18.54
64,10.66
65,12.42
66,11.08
67,13.63
68,18.25
69,19.24
70,18.44
71,10.42
72,10.38
73,18.33
74,30.5
75,24.7
76,23.41
77,24.490000000000002
78,18.07
79,15.879999999999999
80,20.23
81,22.43
82,11.85
83,14.85
84,23.45
85,30.009999999999998
86,29.57
87,33.93
88,29.34
89,30.349999999999998
90,24.3
91,27.35
92,15.02
93,10.979999999999999
94,19.98
95,42.78
96,34.08
97,29.23
98,25.0
99,28.189999999999998
100,21.77
101,27.27
102,31.35
103,51.449999999999996
104,50.13999999999999
105,38.550000000000004
106,21.01
107,23.89
108,31.5
109,31.369999999999997
110,24.240000000000002
111,38.99
112,21.490000000000002
113,13.270000000000001
114,10.32
115,10.38
116,20.93
117,46.71
118,31.269999999999996
119,12.82
120,17.36
