Epoch,Accuracy
1,9.74
2,9.74
3,9.74
4,9.74
5,9.74
6,9.74
7,9.74
8,9.74
9,9.74
10,9.74
11,9.74
12,9.74
13,9.74
14,9.74
15,9.74
16,9.74
17,9.74
18,9.74
19,9.74
20,9.74
21,9.74
22,9.74
23,9.74
24,9.74
25,9.74
26,9.74
27,9.74
28,10.879999999999999
29,10.9
30,9.74
31,9.74
32,9.74
33,9.74
34,10.91
35,9.74
36,9.74
37,9.74
38,10.56
39,10.95
40,14.06
41,9.030000000000001
42,8.98
43,9.120000000000001
44,9.75
45,10.02
46,9.74
47,9.75
48,12.659999999999998
49,13.11
50,12.67
51,13.889999999999999
52,9.74
53,9.74
54,9.77
55,16.79
56,9.74
57,9.74
58,9.82
59,11.3
60,15.18
61,14.099999999999998
62,13.11
63,11.1
64,9.74
65,9.74
66,11.67
67,10.31
68,12.280000000000001
69,13.03
70,10.979999999999999
71,13.96
72,9.07
73,9.26
74,15.809999999999999
75,9.74
76,9.76
77,9.74
78,9.75
79,9.74
80,13.63
81,13.36
82,12.35
83,12.31
84,12.3
85,10.7
86,10.639999999999999
87,13.41
88,16.830000000000002
89,10.15
90,12.989999999999998
91,14.08
92,10.09
93,9.07
94,9.08
95,8.97
96,9.19
97,10.22
98,17.36
99,24.44
100,27.639999999999997
101,25.990000000000002
102,24.23
103,11.64
104,12.049999999999999
105,14.66
106,15.559999999999999
107,17.53
108,17.51
109,14.790000000000001
110,11.87
111,13.56
112,19.470000000000002
113,16.580000000000002
114,15.290000000000001
115,15.479999999999999
116,24.060000000000002
117,23.44
118,21.560000000000002
119,19.759999999999998
120,15.620000000000001
