Epoch,Accuracy
1,9.74
2,9.58
3,9.879999999999999
4,9.54
5,9.58
6,8.24
7,9.58
8,9.74
9,9.73
10,9.75
11,9.74
12,9.74
13,9.74
14,9.58
15,9.58
16,9.83
17,9.74
18,9.74
19,9.74
20,9.92
21,9.74
22,9.74
23,10.2
24,8.93
25,15.110000000000001
26,9.58
27,9.82
28,10.32
29,8.51
30,9.74
31,10.32
32,10.36
33,10.32
34,10.34
35,11.44
36,10.32
37,10.42
38,10.32
39,8.780000000000001
40,9.74
41,10.22
42,10.51
43,9.74
44,9.74
45,9.74
46,9.74
47,9.74
48,9.74
49,9.92
50,9.74
51,10.35
52,15.120000000000001
53,15.36
54,9.74
55,10.32
56,9.959999999999999
57,9.87
58,10.290000000000001
59,9.74
60,10.37
61,10.25
62,10.36
63,9.74
64,9.74
65,9.74
66,9.73
67,9.790000000000001
68,9.74
69,12.520000000000001
70,10.280000000000001
71,9.74
72,9.78
73,9.74
74,16.27
75,9.74
76,9.74
77,10.66
78,9.74
79,9.74
80,13.020000000000001
81,9.74
82,9.74
83,9.8
84,11.15
85,9.74
86,9.74
87,9.74
88,10.27
89,9.74
90,7.829999999999999
91,9.74
92,9.74
93,9.74
94,10.74
95,9.76
96,10.870000000000001
97,9.74
98,10.92
99,18.029999999999998
100,9.74
101,9.74
102,10.25
103,9.92
104,14.64
105,11.97
106,9.74
107,14.11
108,13.63
109,11.09
110,10.870000000000001
111,9.93
112,11.63
113,10.57
114,9.74
115,15.299999999999999
116,12.42
117,10.61
118,13.74
119,9.8
120,14.24
