thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.5,0.9984962406015038,0.7492481203007519,5,2,1328,5
0.15,0.6,0.9984962406015038,0.7992481203007519,6,2,1328,4
0.2,0.8,0.9984962406015038,0.8992481203007519,8,2,1328,2
0.25,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.3,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.35,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.4,0.9,0.9992481203007518,0.9496240601503759,9,1,1329,1
0.45,0.9,0.9992481203007518,0.9496240601503759,9,1,1329,1
0.5,0.9,0.9992481203007518,0.9496240601503759,9,1,1329,1
0.55,0.9,0.9992481203007518,0.9496240601503759,9,1,1329,1
0.6,0.8,0.9992481203007518,0.899624060150376,8,1,1329,2
0.65,0.8,0.9977443609022556,0.8988721804511278,8,3,1327,2
0.7,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.75,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.8,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.85,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.9,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
0.95,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
1.0,0.9,0.9977443609022556,0.9488721804511278,9,3,1327,1
