thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.1,0.9984962406015038,0.5492481203007519,1,2,1328,9
0.3,0.0,0.9992481203007518,0.4996240601503759,0,1,1329,10
0.35,0.1,0.9992481203007518,0.5496240601503759,1,1,1329,9
0.4,0.1,1.0,0.55,1,0,1330,9
0.45,0.1,1.0,0.55,1,0,1330,9
0.5,0.1,1.0,0.55,1,0,1330,9
0.55,0.1,1.0,0.55,1,0,1330,9
0.6,0.1,1.0,0.55,1,0,1330,9
0.65,0.2,1.0,0.6,2,0,1330,8
0.7,0.2,1.0,0.6,2,0,1330,8
0.75,0.2,1.0,0.6,2,0,1330,8
0.8,0.2,0.9969924812030075,0.5984962406015037,2,4,1326,8
0.85,0.2,0.9954887218045113,0.5977443609022557,2,6,1324,8
0.9,0.3,0.9924812030075187,0.6462406015037594,3,10,1320,7
0.95,0.2,0.9954887218045113,0.5977443609022557,2,6,1324,8
1.0,0.2,0.9954887218045113,0.5977443609022557,2,6,1324,8
