Epoch,Accuracy
1,9.8
2,9.74
3,9.8
4,11.35
5,11.35
6,9.8
7,9.8
8,9.74
9,11.35
10,9.8
11,9.8
12,9.8
13,9.8
14,11.35
15,11.219999999999999
16,9.8
17,9.8
18,9.8
19,9.8
20,9.8
21,9.8
22,9.8
23,9.8
24,9.8
25,9.8
26,9.8
27,9.8
28,9.8
29,9.8
30,8.92
31,8.92
32,8.92
33,8.92
34,8.92
35,8.92
36,8.92
37,8.92
38,8.92
39,8.92
40,8.92
41,8.92
42,8.92
43,8.92
44,8.92
45,8.92
46,8.92
47,8.92
48,8.92
49,9.74
50,9.74
51,9.74
52,9.74
53,9.74
54,9.74
55,9.74
56,9.74
57,9.74
58,9.74
59,9.74
60,9.93
61,9.8
62,9.8
63,9.8
64,9.8
65,9.8
66,9.8
67,9.8
68,9.8
69,9.8
70,9.8
71,9.8
72,9.8
73,9.229999999999999
74,8.959999999999999
75,8.94
76,9.01
77,9.48
78,9.719999999999999
79,10.209999999999999
80,9.8
81,9.8
82,9.82
83,10.209999999999999
84,9.75
85,10.25
86,9.98
87,10.100000000000001
88,10.32
89,10.4
90,10.69
91,11.110000000000001
92,11.27
93,11.28
94,11.62
95,11.41
96,12.27
97,11.459999999999999
98,11.51
99,12.120000000000001
100,12.049999999999999
101,11.72
102,14.23
103,14.41
104,14.32
105,12.479999999999999
106,9.370000000000001
107,10.290000000000001
108,12.690000000000001
109,12.29
110,12.590000000000002
111,8.99
112,14.75
113,14.7
114,9.33
115,8.86
116,10.7
117,12.07
118,11.33
119,12.44
120,10.780000000000001
