Epoch,Accuracy
1,9.29
2,9.25
3,9.01
4,9.33
5,8.649999999999999
6,9.879999999999999
7,7.86
8,11.12
9,8.33
10,9.02
11,8.6
12,10.93
13,12.06
14,11.14
15,10.69
16,7.79
17,9.77
18,10.27
19,12.57
20,8.290000000000001
21,9.19
22,9.02
23,10.0
24,10.75
25,9.93
26,11.459999999999999
27,9.9
28,10.65
29,11.98
30,9.569999999999999
31,10.26
32,13.15
33,10.77
34,14.330000000000002
35,12.29
36,12.120000000000001
37,10.52
38,11.42
39,13.4
40,11.83
41,14.13
42,12.920000000000002
43,11.42
44,10.47
45,11.33
46,10.870000000000001
47,10.77
48,12.049999999999999
49,11.24
50,12.370000000000001
51,11.26
52,10.17
53,11.06
54,10.489999999999998
55,12.4
56,11.21
57,10.57
58,11.37
59,10.31
60,10.07
61,11.41
62,11.27
63,11.41
64,12.32
65,11.27
66,11.72
67,12.08
68,11.3
69,11.74
70,11.5
71,11.68
72,11.66
73,11.690000000000001
74,12.35
75,11.01
76,11.64
77,11.63
78,11.57
79,11.93
80,12.19
81,12.8
82,12.47
83,11.75
84,11.51
85,12.26
86,10.38
87,11.360000000000001
88,11.57
89,12.479999999999999
90,13.18
91,11.65
92,12.97
93,15.21
94,12.45
95,15.67
96,14.04
97,11.82
98,11.99
99,15.079999999999998
100,12.479999999999999
101,14.37
102,12.870000000000001
103,13.41
104,12.690000000000001
105,12.07
106,14.540000000000001
107,13.96
108,12.55
109,12.049999999999999
110,12.520000000000001
111,16.43
112,17.14
113,15.55
114,14.499999999999998
115,13.13
116,15.27
117,14.84
118,13.56
119,14.099999999999998
120,14.95
