Epoch,Accuracy
1,9.74
2,9.74
3,9.74
4,9.74
5,9.74
6,9.74
7,9.74
8,9.74
9,9.74
10,9.74
11,9.74
12,9.74
13,9.74
14,9.74
15,9.74
16,9.74
17,9.74
18,9.74
19,9.74
20,9.74
21,9.74
22,9.74
23,9.73
24,9.74
25,9.74
26,9.74
27,9.74
28,9.74
29,9.74
30,9.74
31,9.74
32,9.74
33,9.74
34,9.74
35,9.74
36,9.74
37,9.74
38,9.74
39,9.74
40,9.74
41,9.74
42,9.74
43,9.74
44,9.74
45,9.74
46,9.74
47,9.74
48,9.74
49,9.74
50,9.74
51,9.74
52,9.74
53,9.74
54,9.74
55,9.74
56,9.74
57,9.74
58,9.74
59,9.74
60,9.74
61,9.74
62,9.74
63,9.74
64,9.74
65,9.74
66,9.74
67,9.74
68,9.74
69,9.74
70,9.74
71,9.74
72,9.74
73,9.74
74,9.74
75,9.74
76,9.74
77,9.74
78,9.74
79,9.74
80,9.74
81,9.74
82,9.74
83,9.74
84,9.74
85,9.74
86,9.74
87,9.74
88,9.74
89,9.74
90,9.74
91,9.74
92,9.74
93,9.74
94,9.74
95,9.74
96,9.74
97,9.74
98,9.74
99,9.74
100,9.74
101,9.74
102,9.74
103,9.74
104,9.74
105,9.74
106,9.74
107,9.74
108,9.74
109,9.74
110,9.74
111,9.74
112,9.74
113,9.74
114,9.74
115,9.74
116,9.74
117,9.74
118,9.74
119,9.74
120,9.74
