Epoch,Accuracy
1,10.0
2,10.100000000000001
3,10.0
4,10.0
5,10.0
6,10.0
7,10.03
8,10.0
9,10.02
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.100000000000001
19,13.020000000000001
20,10.0
21,10.0
22,10.0
23,11.05
24,11.940000000000001
25,13.51
26,13.44
27,12.659999999999998
28,12.43
29,12.280000000000001
30,12.3
31,13.200000000000001
32,13.52
33,13.38
34,13.05
35,11.75
36,11.98
37,13.600000000000001
38,12.690000000000001
39,10.17
40,10.01
41,10.01
42,10.07
43,10.549999999999999
44,9.69
45,9.0
46,9.59
47,9.959999999999999
48,10.15
49,10.97
50,11.64
51,12.590000000000002
52,12.73
53,13.52
54,13.51
55,12.33
56,11.600000000000001
57,11.61
58,11.26
59,11.42
60,10.979999999999999
61,11.01
62,11.04
63,10.96
64,10.24
65,10.12
66,10.27
67,10.27
68,10.81
69,12.15
70,11.87
71,9.629999999999999
72,9.89
73,9.66
74,9.44
75,11.04
76,11.21
77,10.68
78,10.89
79,10.75
80,10.45
81,10.4
82,10.35
83,10.42
84,10.61
85,10.93
86,11.459999999999999
87,11.95
88,12.479999999999999
89,14.67
90,13.600000000000001
91,12.590000000000002
92,12.43
93,12.43
94,11.61
95,11.12
96,10.5
97,10.42
98,9.76
99,9.51
100,9.28
101,9.17
102,9.19
103,9.34
104,9.25
105,9.43
106,9.78
107,10.11
108,10.39
109,10.79
110,10.85
111,11.31
112,11.66
113,11.44
114,11.42
115,11.23
116,11.469999999999999
117,11.12
118,11.89
119,12.280000000000001
120,12.379999999999999
