Epoch,Accuracy
1,12.46
2,11.26
3,11.95
4,12.1
5,12.120000000000001
6,11.959999999999999
7,12.19
8,11.87
9,11.83
10,11.83
11,11.77
12,12.46
13,10.870000000000001
14,12.620000000000001
15,8.75
16,9.34
17,9.26
18,9.36
19,9.64
20,9.790000000000001
21,9.94
22,9.879999999999999
23,9.790000000000001
24,9.950000000000001
25,9.77
26,9.71
27,9.89
28,10.05
29,9.82
30,10.02
31,9.85
32,10.05
33,9.94
34,9.98
35,9.86
36,9.87
37,9.950000000000001
38,10.39
39,10.07
40,9.8
41,10.08
42,10.81
43,10.34
44,11.61
45,10.18
46,10.620000000000001
47,10.42
48,11.379999999999999
49,10.879999999999999
50,10.459999999999999
51,16.96
52,12.24
53,10.879999999999999
54,11.110000000000001
55,13.819999999999999
56,12.479999999999999
57,11.29
58,10.9
59,12.27
60,11.55
61,11.89
62,11.57
63,14.979999999999999
64,12.9
65,12.06
66,10.74
67,11.82
68,11.57
69,11.540000000000001
70,13.59
71,12.709999999999999
72,13.88
73,11.41
74,11.86
75,12.590000000000002
76,11.67
77,10.879999999999999
78,12.98
79,11.49
80,13.530000000000001
81,14.399999999999999
82,13.25
83,11.68
84,18.27
85,12.46
86,12.01
87,11.77
88,14.84
89,13.719999999999999
90,11.32
91,16.37
92,11.5
93,14.89
94,12.42
95,14.39
96,11.600000000000001
97,14.75
98,13.900000000000002
99,14.09
100,16.57
101,14.92
102,19.66
103,18.56
104,13.3
105,15.9
106,14.549999999999999
107,12.97
108,13.22
109,17.7
110,18.2
111,11.95
112,18.33
113,16.89
114,17.130000000000003
115,13.18
116,17.19
117,14.219999999999999
118,13.469999999999999
119,12.53
120,15.09
