thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.0,1.0,0.5,0,0,1330,10
0.3,0.0,1.0,0.5,0,0,1330,10
0.35,0.0,1.0,0.5,0,0,1330,10
0.4,0.0,1.0,0.5,0,0,1330,10
0.45,0.0,0.9992481203007518,0.4996240601503759,0,1,1329,10
0.5,0.0,0.9992481203007518,0.4996240601503759,0,1,1329,10
0.55,0.0,0.9992481203007518,0.4996240601503759,0,1,1329,10
0.6,0.0,0.9984962406015038,0.4992481203007519,0,2,1328,10
0.65,0.3,0.9984962406015038,0.6492481203007519,3,2,1328,7
0.7,0.4,0.9984962406015038,0.6992481203007519,4,2,1328,6
0.75,0.5,0.9984962406015038,0.7492481203007519,5,2,1328,5
0.8,0.5,0.9977443609022556,0.7488721804511278,5,3,1327,5
0.85,0.7,0.9962406015037594,0.8481203007518796,7,5,1325,3
0.9,0.7,0.9962406015037594,0.8481203007518796,7,5,1325,3
0.95,0.7,0.9962406015037594,0.8481203007518796,7,5,1325,3
1.0,0.7,0.9962406015037594,0.8481203007518796,7,5,1325,3
