thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.6,0.9992481203007518,0.7996240601503759,6,1,1329,4
0.15,0.5,0.9984962406015038,0.7492481203007519,5,2,1328,5
0.2,0.3,1.0,0.65,3,0,1330,7
0.25,0.2,1.0,0.6,2,0,1330,8
0.3,0.3,1.0,0.65,3,0,1330,7
0.35,0.2,1.0,0.6,2,0,1330,8
0.4,0.1,1.0,0.55,1,0,1330,9
0.45,0.1,1.0,0.55,1,0,1330,9
0.5,0.0,0.9992481203007518,0.4996240601503759,0,1,1329,10
0.55,0.0,1.0,0.5,0,0,1330,10
0.6,0.0,0.9992481203007518,0.4996240601503759,0,1,1329,10
0.65,0.2,0.9992481203007518,0.599624060150376,2,1,1329,8
0.7,0.4,0.9992481203007518,0.6996240601503759,4,1,1329,6
0.75,0.6,0.9984962406015038,0.7992481203007519,6,2,1328,4
0.8,0.7,0.9984962406015038,0.8492481203007518,7,2,1328,3
0.85,0.6,0.9977443609022556,0.7988721804511278,6,3,1327,4
0.9,0.7,0.9977443609022556,0.8488721804511278,7,3,1327,3
0.95,0.7,0.9962406015037594,0.8481203007518796,7,5,1325,3
1.0,0.8,0.9962406015037594,0.8981203007518797,8,5,1325,2
