Epoch,Accuracy
1,10.32
2,8.92
3,9.74
4,8.92
5,9.82
6,9.87
7,10.100000000000001
8,10.09
9,10.31
10,10.32
11,10.32
12,8.77
13,8.959999999999999
14,8.9
15,9.1
16,10.24
17,10.82
18,11.020000000000001
19,10.51
20,10.79
21,11.04
22,10.620000000000001
23,9.92
24,10.96
25,10.54
26,10.96
27,10.76
28,11.65
29,11.450000000000001
30,12.32
31,12.85
32,12.64
33,10.63
34,11.89
35,12.389999999999999
36,12.73
37,12.29
38,12.61
39,9.99
40,9.629999999999999
41,9.29
42,9.3
43,9.44
44,11.23
45,15.379999999999999
46,15.03
47,10.81
48,10.02
49,9.5
50,9.44
51,9.39
52,10.280000000000001
53,12.989999999999998
54,13.48
55,10.33
56,9.91
57,10.02
58,9.87
59,9.92
60,11.129999999999999
61,10.97
62,10.82
63,10.83
64,11.200000000000001
65,10.75
66,10.870000000000001
67,11.27
68,11.26
69,14.08
70,14.46
71,14.13
72,12.049999999999999
73,12.27
74,13.41
75,16.54
76,15.659999999999998
77,16.35
78,13.58
79,12.11
80,14.85
81,19.470000000000002
82,20.36
83,20.68
84,9.77
85,7.720000000000001
86,8.07
87,8.28
88,9.48
89,12.4
90,16.17
91,19.12
92,18.16
93,17.41
94,14.899999999999999
95,15.740000000000002
96,15.64
97,16.13
98,14.93
99,13.41
100,15.409999999999998
101,14.23
102,14.39
103,13.3
104,11.84
105,15.079999999999998
106,17.169999999999998
107,16.470000000000002
108,12.11
109,12.46
110,13.33
111,13.950000000000001
112,15.770000000000001
113,15.5
114,15.36
115,12.34
116,12.46
117,13.15
118,14.11
119,10.549999999999999
120,9.81
