Epoch,Accuracy
1,10.32
2,10.100000000000001
3,9.74
4,9.82
5,9.82
6,9.82
7,9.15
8,9.13
9,9.120000000000001
10,10.32
11,10.32
12,10.31
13,10.32
14,10.32
15,10.32
16,8.06
17,9.35
18,7.39
19,8.94
20,10.059999999999999
21,9.68
22,9.29
23,10.299999999999999
24,12.25
25,12.030000000000001
26,10.8
27,10.51
28,10.6
29,11.93
30,14.17
31,14.499999999999998
32,13.020000000000001
33,10.14
34,10.39
35,11.3
36,12.0
37,12.27
38,15.1
39,15.43
40,13.5
41,11.709999999999999
42,12.22
43,12.11
44,12.4
45,10.95
46,10.13
47,10.17
48,10.2
49,11.43
50,14.78
51,13.54
52,12.55
53,12.72
54,13.719999999999999
55,15.010000000000002
56,10.34
57,10.299999999999999
58,10.32
59,10.32
60,10.870000000000001
61,10.81
62,9.65
63,7.82
64,8.85
65,11.59
66,11.93
67,12.02
68,11.95
69,10.25
70,11.5
71,11.59
72,11.97
73,12.370000000000001
74,12.25
75,12.25
76,11.74
77,11.559999999999999
78,11.07
79,11.3
80,14.7
81,13.83
82,11.85
83,12.1
84,15.909999999999998
85,10.09
86,9.29
87,12.509999999999998
88,15.89
89,14.82
90,12.15
91,11.82
92,12.06
93,12.590000000000002
94,13.11
95,14.45
96,15.110000000000001
97,14.330000000000002
98,13.420000000000002
99,13.19
100,13.05
101,13.55
102,14.7
103,12.709999999999999
104,10.17
105,10.31
106,10.32
107,10.209999999999999
108,10.190000000000001
109,10.07
110,10.71
111,10.870000000000001
112,10.780000000000001
113,10.76
114,15.4
115,14.05
116,13.43
117,13.77
118,15.25
119,11.24
120,10.73
