Epoch,Accuracy
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.0
11,9.879999999999999
12,10.0
13,10.0
14,10.0
15,10.0
16,10.05
17,9.94
18,10.23
19,10.0
20,10.0
21,10.0
22,9.47
23,10.0
24,10.0
25,10.0
26,10.209999999999999
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.02
34,10.01
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,10.05
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,10.0
49,10.0
50,10.0
51,10.0
52,10.0
53,10.0
54,10.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,9.99
62,9.89
63,10.74
64,11.4
65,10.0
66,10.0
67,10.0
68,10.040000000000001
69,13.719999999999999
70,13.69
71,10.4
72,10.45
73,9.62
74,9.379999999999999
75,10.01
76,9.98
77,8.37
78,7.960000000000001
79,12.16
80,11.21
81,11.42
82,11.52
83,11.92
84,12.42
85,12.67
86,11.19
87,10.17
88,10.25
89,10.34
90,11.899999999999999
91,12.0
92,11.790000000000001
93,11.77
94,11.5
95,11.24
96,11.15
97,11.66
98,11.360000000000001
99,11.219999999999999
100,10.530000000000001
101,10.76
102,11.35
103,9.700000000000001
104,9.22
105,9.24
106,9.1
107,8.6
108,8.469999999999999
109,8.67
110,8.32
111,8.16
112,7.9399999999999995
113,7.960000000000001
114,7.9799999999999995
115,8.39
116,9.66
117,9.35
118,9.24
119,9.610000000000001
120,9.969999999999999
