Epoch,Accuracy
1,9.74
2,9.74
3,8.92
4,10.280000000000001
5,8.92
6,8.92
7,8.92
8,8.92
9,8.92
10,8.94
11,9.02
12,10.08
13,10.32
14,10.32
15,8.92
16,8.92
17,10.32
18,10.32
19,10.32
20,10.32
21,10.32
22,10.32
23,10.32
24,10.32
25,10.32
26,8.83
27,8.92
28,8.92
29,10.32
30,10.32
31,10.32
32,10.32
33,10.32
34,10.32
35,10.32
36,10.32
37,8.92
38,8.92
39,8.92
40,8.92
41,8.92
42,8.92
43,8.92
44,8.92
45,8.92
46,8.92
47,8.92
48,8.92
49,8.92
50,8.92
51,8.91
52,8.459999999999999
53,9.8
54,9.629999999999999
55,9.0
56,8.92
57,10.24
58,10.32
59,10.34
60,10.35
61,8.92
62,8.92
63,8.92
64,8.92
65,8.92
66,8.92
67,10.299999999999999
68,10.32
69,10.32
70,10.32
71,10.32
72,8.959999999999999
73,8.92
74,8.92
75,8.92
76,8.92
77,8.92
78,8.92
79,8.9
80,8.52
81,8.73
82,8.870000000000001
83,8.92
84,8.92
85,8.92
86,8.92
87,8.92
88,8.92
89,8.92
90,8.92
91,8.92
92,9.07
93,11.81
94,11.559999999999999
95,9.04
96,8.76
97,8.89
98,8.92
99,10.33
100,8.92
101,8.92
102,8.92
103,8.92
104,8.92
105,8.92
106,8.92
107,8.92
108,8.92
109,8.92
110,8.92
111,8.92
112,8.92
113,8.92
114,8.92
115,8.92
116,8.92
117,8.92
118,8.92
119,8.92
120,8.92
