Epoch,Accuracy
1,9.74
2,9.74
3,8.92
4,10.32
5,8.92
6,8.92
7,8.92
8,8.92
9,9.16
10,9.82
11,10.05
12,10.32
13,8.92
14,8.92
15,8.92
16,8.92
17,8.95
18,10.32
19,10.32
20,9.04
21,8.92
22,8.92
23,9.19
24,8.94
25,8.92
26,9.139999999999999
27,9.719999999999999
28,8.92
29,8.95
30,8.99
31,9.3
32,9.65
33,9.73
34,10.56
35,10.56
36,10.26
37,10.45
38,10.52
39,10.36
40,10.48
41,10.36
42,10.34
43,10.32
44,10.32
45,11.48
46,8.92
47,8.92
48,8.98
49,11.34
50,11.24
51,12.78
52,12.6
53,12.5
54,12.49
55,10.32
56,10.32
57,10.32
58,10.32
59,10.32
60,10.32
61,10.56
62,11.459999999999999
63,10.979999999999999
64,11.75
65,10.96
66,10.59
67,10.32
68,10.32
69,10.36
70,10.51
71,11.62
72,12.620000000000001
73,12.06
74,12.790000000000001
75,10.25
76,9.32
77,9.39
78,10.17
79,11.58
80,11.200000000000001
81,11.219999999999999
82,11.19
83,12.620000000000001
84,14.74
85,13.07
86,10.32
87,10.32
88,10.32
89,10.32
90,10.32
91,10.32
92,10.32
93,10.32
94,10.32
95,10.32
96,10.32
97,10.32
98,10.32
99,10.32
100,10.32
101,10.32
102,10.32
103,10.32
104,10.32
105,10.32
106,10.32
107,10.32
108,10.32
109,10.32
110,10.32
111,10.32
112,10.32
113,10.32
114,10.32
115,10.32
116,10.32
117,10.45
118,11.55
119,11.81
120,12.24
