Epoch,Accuracy
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.03
7,10.0
8,10.0
9,10.0
10,10.14
11,10.54
12,10.75
13,10.280000000000001
14,10.07
15,10.03
16,10.05
17,10.02
18,10.040000000000001
19,9.950000000000001
20,9.99
21,10.02
22,10.23
23,10.440000000000001
24,10.22
25,10.07
26,9.99
27,10.01
28,10.02
29,10.0
30,9.99
31,9.99
32,9.99
33,9.99
34,9.99
35,9.99
36,9.99
37,10.03
38,10.11
39,10.11
40,10.14
41,10.059999999999999
42,9.93
43,10.38
44,10.35
45,10.39
46,10.33
47,10.01
48,10.02
49,10.01
50,10.01
51,10.280000000000001
52,10.26
53,10.040000000000001
54,10.01
55,9.969999999999999
56,10.11
57,9.71
58,9.68
59,9.98
60,10.01
61,10.0
62,9.98
63,10.100000000000001
64,10.17
65,10.33
66,11.26
67,12.839999999999998
68,12.68
69,12.049999999999999
70,11.92
71,11.65
72,10.12
73,10.02
74,10.08
75,11.129999999999999
76,10.17
77,10.01
78,10.0
79,10.0
80,10.0
81,9.98
82,9.959999999999999
83,9.94
84,10.01
85,10.0
86,10.0
87,10.02
88,10.01
89,11.67
90,11.43
91,10.12
92,10.12
93,10.209999999999999
94,10.99
95,11.959999999999999
96,10.77
97,10.27
98,10.13
99,10.18
100,10.059999999999999
101,10.0
102,9.98
103,9.98
104,10.34
105,10.43
106,10.22
107,10.8
108,11.020000000000001
109,11.790000000000001
110,11.04
111,10.440000000000001
112,10.639999999999999
113,10.68
114,10.83
115,11.020000000000001
116,10.59
117,10.31
118,11.09
119,11.540000000000001
120,12.64
