Epoch,Accuracy
1,8.72
2,6.81
3,11.33
4,12.0
5,13.930000000000001
6,11.42
7,12.36
8,13.780000000000001
9,13.459999999999999
10,13.059999999999999
11,13.77
12,18.55
13,13.389999999999999
14,13.55
15,15.770000000000001
16,15.09
17,11.59
18,16.77
19,11.97
20,10.66
21,12.04
22,15.17
23,11.53
24,11.709999999999999
25,12.370000000000001
26,12.91
27,10.9
28,12.97
29,14.719999999999999
30,15.770000000000001
31,13.059999999999999
32,10.01
33,12.23
34,12.75
35,10.6
36,13.26
37,13.88
38,16.259999999999998
39,10.4
40,12.21
41,11.200000000000001
42,12.8
43,12.6
44,15.329999999999998
45,13.28
46,12.43
47,15.299999999999999
48,14.57
49,15.120000000000001
50,11.28
51,11.42
52,12.7
53,12.98
54,14.89
55,13.469999999999999
56,15.45
57,14.760000000000002
58,11.51
59,13.81
60,11.899999999999999
61,14.469999999999999
62,12.07
63,15.950000000000001
64,11.87
65,12.82
66,14.21
67,14.31
68,13.139999999999999
69,14.879999999999999
70,15.61
71,13.209999999999999
72,15.18
73,12.920000000000002
74,15.120000000000001
75,18.96
76,13.13
77,15.65
78,12.65
79,15.479999999999999
80,15.85
81,13.99
82,15.6
83,15.14
84,18.01
85,11.63
86,16.150000000000002
87,15.9
88,12.959999999999999
89,12.790000000000001
90,15.5
91,15.379999999999999
92,16.71
93,13.320000000000002
94,16.439999999999998
95,15.58
96,15.17
97,12.97
98,14.38
99,13.3
100,13.450000000000001
101,14.34
102,13.020000000000001
103,15.61
104,10.95
105,18.01
106,15.21
107,17.39
108,13.420000000000002
109,11.450000000000001
110,17.62
111,14.760000000000002
112,13.489999999999998
113,12.72
114,14.17
115,14.57
116,16.509999999999998
117,16.950000000000003
118,19.32
119,11.37
120,14.21
