Epoch,Accuracy
1,9.53
2,9.77
3,9.73
4,9.65
5,9.74
6,9.48
7,9.58
8,9.46
9,10.18
10,12.31
11,10.08
12,9.74
13,9.75
14,12.280000000000001
15,12.5
16,9.030000000000001
17,9.8
18,9.569999999999999
19,9.75
20,10.7
21,9.48
22,9.73
23,9.629999999999999
24,8.77
25,9.58
26,9.58
27,8.97
28,8.690000000000001
29,8.57
30,8.77
31,9.58
32,9.719999999999999
33,11.940000000000001
34,8.559999999999999
35,9.76
36,10.780000000000001
37,9.82
38,9.74
39,9.82
40,9.82
41,9.82
42,9.82
43,9.82
44,9.82
45,9.82
46,9.82
47,9.82
48,9.82
49,9.8
50,9.82
51,9.82
52,9.82
53,9.82
54,9.82
55,9.82
56,9.82
57,9.82
58,10.05
59,9.82
60,10.25
61,9.82
62,11.03
63,9.82
64,9.82
65,9.82
66,8.06
67,9.82
68,10.17
69,9.82
70,9.27
71,9.58
72,9.83
73,9.58
74,9.82
75,7.26
76,9.82
77,10.100000000000001
78,10.5
79,9.82
80,9.86
81,9.58
82,9.82
83,10.63
84,9.86
85,9.89
86,9.82
87,8.540000000000001
88,8.94
89,9.82
90,9.58
91,9.82
92,9.58
93,9.82
94,9.58
95,10.18
96,9.89
97,9.58
98,9.58
99,11.62
100,9.58
101,9.58
102,9.58
103,8.92
104,9.58
105,10.8
106,9.84
107,11.709999999999999
108,6.4
109,9.569999999999999
110,9.43
111,9.4
112,9.66
113,9.58
114,9.569999999999999
115,9.58
116,7.380000000000001
117,9.58
118,7.79
119,6.260000000000001
120,6.76
