Epoch,Accuracy
1,11.49
2,10.36
3,11.42
4,10.9
5,11.35
6,11.35
7,11.35
8,13.919999999999998
9,11.0
10,11.35
11,11.35
12,11.35
13,11.35
14,9.83
15,11.58
16,11.95
17,11.43
18,11.690000000000001
19,10.09
20,9.84
21,10.09
22,12.65
23,9.89
24,11.35
25,10.09
26,10.09
27,9.78
28,19.67
29,11.26
30,11.82
31,10.37
32,10.17
33,19.939999999999998
34,16.8
35,17.73
36,11.700000000000001
37,11.18
38,11.35
39,10.36
40,9.74
41,10.09
42,16.07
43,10.15
44,10.57
45,15.14
46,15.53
47,11.64
48,11.03
49,13.489999999999998
50,16.88
51,14.46
52,11.379999999999999
53,9.77
54,12.959999999999999
55,11.92
56,12.97
57,11.89
58,10.45
59,11.469999999999999
60,13.44
61,15.120000000000001
62,17.48
63,11.37
64,14.17
65,10.549999999999999
66,10.08
67,14.330000000000002
68,10.38
69,15.98
70,15.85
71,20.3
72,12.02
73,17.34
74,9.74
75,11.35
76,9.74
77,13.91
78,11.64
79,9.84
80,13.91
81,7.85
82,8.709999999999999
83,16.37
84,10.67
85,13.58
86,9.71
87,12.27
88,17.72
89,11.82
90,10.100000000000001
91,11.799999999999999
92,12.29
93,12.45
94,18.45
95,14.62
96,11.690000000000001
97,17.91
98,10.31
99,19.830000000000002
100,15.939999999999998
101,10.040000000000001
102,10.65
103,16.73
104,22.38
105,11.67
106,11.67
107,5.94
108,20.18
109,11.379999999999999
110,11.35
111,15.590000000000002
112,14.64
113,15.299999999999999
114,10.299999999999999
115,10.09
116,20.200000000000003
117,16.04
118,18.69
119,16.72
120,17.31
