Epoch,Accuracy
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.97
8,10.6
9,10.65
10,10.190000000000001
11,10.08
12,10.0
13,11.41
14,13.25
15,12.98
16,12.07
17,13.63
18,13.469999999999999
19,13.96
20,14.000000000000002
21,14.35
22,12.13
23,10.059999999999999
24,10.0
25,10.94
26,11.42
27,13.79
28,13.3
29,13.48
30,13.719999999999999
31,13.320000000000002
32,12.509999999999998
33,11.73
34,11.33
35,13.44
36,15.4
37,16.619999999999997
38,16.35
39,16.48
40,15.09
41,15.76
42,16.57
43,15.740000000000002
44,13.76
45,12.91
46,12.790000000000001
47,13.4
48,14.940000000000001
49,14.860000000000001
50,14.96
51,17.849999999999998
52,18.83
53,18.08
54,17.19
55,15.89
56,14.000000000000002
57,12.590000000000002
58,12.870000000000001
59,15.89
60,16.650000000000002
61,15.73
62,13.020000000000001
63,13.29
64,14.219999999999999
65,15.079999999999998
66,16.05
67,19.41
68,20.49
69,18.91
70,18.14
71,15.6
72,15.35
73,16.06
74,15.43
75,18.54
76,20.1
77,18.92
78,16.650000000000002
79,13.68
80,11.18
81,11.39
82,14.149999999999999
83,17.24
84,18.25
85,17.91
86,17.14
87,11.459999999999999
88,10.01
89,10.979999999999999
90,12.33
91,13.089999999999998
92,13.239999999999998
93,13.600000000000001
94,14.95
95,15.73
96,16.63
97,18.15
98,17.72
99,17.46
100,17.29
101,18.39
102,19.53
103,19.96
104,19.759999999999998
105,19.54
106,20.5
107,21.83
108,20.990000000000002
109,21.13
110,21.5
111,20.76
112,19.11
113,18.029999999999998
114,15.73
115,15.97
116,17.86
117,18.26
118,18.7
119,18.56
120,17.51
