Epoch,Accuracy
1,9.8
2,9.74
3,9.58
4,9.8
5,9.8
6,9.8
7,9.58
8,9.8
9,9.8
10,9.8
11,9.8
12,10.26
13,9.62
14,9.569999999999999
15,9.58
16,10.32
17,8.92
18,10.32
19,10.32
20,9.56
21,9.58
22,9.58
23,9.58
24,9.58
25,9.58
26,9.58
27,10.11
28,10.100000000000001
29,10.100000000000001
30,10.100000000000001
31,10.100000000000001
32,8.94
33,8.92
34,8.92
35,8.92
36,8.92
37,8.92
38,8.92
39,8.92
40,8.92
41,8.92
42,8.92
43,8.92
44,8.92
45,8.92
46,8.92
47,8.92
48,8.92
49,8.92
50,8.92
51,10.32
52,10.32
53,10.32
54,10.32
55,10.32
56,10.32
57,10.32
58,10.32
59,10.32
60,10.32
61,10.32
62,10.32
63,10.32
64,10.32
65,10.32
66,10.32
67,10.32
68,10.32
69,10.100000000000001
70,10.100000000000001
71,9.9
72,10.32
73,10.32
74,10.32
75,10.32
76,10.32
77,10.32
78,10.32
79,10.32
80,10.32
81,10.32
82,10.32
83,10.32
84,10.32
85,10.32
86,10.32
87,10.32
88,10.32
89,10.32
90,10.32
91,10.32
92,10.32
93,10.32
94,10.32
95,10.32
96,10.33
97,10.290000000000001
98,9.98
99,10.14
100,10.17
101,9.29
102,8.98
103,11.52
104,11.61
105,11.27
106,11.83
107,11.44
108,12.1
109,12.04
110,10.100000000000001
111,9.569999999999999
112,10.280000000000001
113,10.32
114,10.33
115,10.34
116,10.32
117,10.33
118,10.32
119,10.24
120,8.870000000000001
