Epoch,Accuracy
1,9.74
2,9.74
3,9.74
4,9.58
5,9.74
6,9.58
7,9.58
8,9.58
9,9.8
10,9.58
11,9.58
12,9.58
13,9.58
14,9.58
15,9.58
16,9.58
17,9.74
18,9.74
19,9.74
20,9.58
21,9.74
22,9.58
23,9.58
24,9.58
25,9.58
26,9.74
27,9.58
28,9.58
29,9.58
30,9.74
31,9.58
32,9.58
33,9.74
34,9.74
35,9.58
36,9.74
37,9.58
38,9.58
39,9.74
40,9.58
41,9.58
42,9.58
43,9.74
44,9.58
45,9.58
46,9.58
47,9.58
48,9.74
49,9.58
50,9.58
51,9.58
52,9.58
53,9.58
54,9.58
55,9.58
56,9.58
57,9.58
58,9.58
59,9.74
60,9.58
61,9.58
62,9.58
63,9.58
64,9.58
65,9.58
66,9.74
67,9.58
68,9.58
69,9.74
70,9.58
71,9.58
72,9.74
73,9.58
74,9.74
75,9.58
76,9.58
77,9.58
78,9.74
79,9.58
80,9.74
81,9.58
82,9.58
83,9.58
84,9.74
85,9.58
86,9.58
87,9.58
88,9.58
89,9.74
90,9.58
91,9.58
92,9.58
93,9.58
94,9.58
95,9.58
96,9.74
97,9.58
98,9.58
99,9.58
100,9.74
101,9.58
102,9.74
103,9.58
104,9.74
105,9.74
106,9.58
107,9.58
108,9.74
109,9.74
110,9.58
111,9.74
112,9.58
113,9.58
114,9.58
115,9.58
116,9.58
117,9.58
118,9.74
119,9.74
120,9.74
