Epoch,Accuracy
1,10.03
2,10.12
3,10.01
4,10.45
5,10.290000000000001
6,9.81
7,12.120000000000001
8,11.29
9,10.18
10,11.219999999999999
11,10.0
12,10.68
13,9.67
14,13.73
15,10.13
16,11.129999999999999
17,10.73
18,11.12
19,12.16
20,9.66
21,10.35
22,11.709999999999999
23,13.3
24,10.25
25,10.14
26,11.72
27,10.95
28,10.34
29,11.020000000000001
30,12.770000000000001
31,12.33
32,14.299999999999999
33,7.920000000000001
34,11.18
35,7.2700000000000005
36,11.93
37,15.18
38,16.81
39,13.88
40,14.030000000000001
41,11.27
42,14.790000000000001
43,14.62
44,13.79
45,12.33
46,9.36
47,10.99
48,10.02
49,16.33
50,11.790000000000001
51,11.73
52,9.87
53,12.94
54,10.040000000000001
55,8.33
56,15.909999999999998
57,10.79
58,11.64
59,11.93
60,8.559999999999999
61,12.94
62,10.31
63,14.39
64,11.33
65,13.089999999999998
66,8.92
67,9.370000000000001
68,11.65
69,9.24
70,9.27
71,10.22
72,9.73
73,11.53
74,10.97
75,9.83
76,12.620000000000001
77,10.05
78,14.46
79,10.82
80,11.200000000000001
81,10.76
82,9.36
83,11.77
84,9.35
85,10.36
86,12.740000000000002
87,9.98
88,10.299999999999999
89,10.39
90,8.67
91,13.33
92,13.950000000000001
93,10.43
94,13.07
95,11.27
96,10.37
97,8.7
98,12.65
99,10.48
100,15.870000000000001
101,13.059999999999999
102,10.56
103,11.08
104,10.26
105,10.440000000000001
106,10.2
107,11.73
108,9.84
109,11.05
110,11.31
111,12.09
112,12.809999999999999
113,10.65
114,10.77
115,10.37
116,15.379999999999999
117,15.18
118,14.48
119,9.75
120,12.280000000000001
