Epoch,Accuracy
1,9.569999999999999
2,10.0
3,10.0
4,10.5
5,13.23
6,18.39
7,20.97
8,18.38
9,17.36
10,18.19
11,17.419999999999998
12,17.78
13,15.939999999999998
14,16.85
15,18.45
16,14.59
17,17.09
18,18.19
19,18.93
20,19.96
21,20.150000000000002
22,20.080000000000002
23,19.11
24,18.91
25,20.18
26,19.23
27,18.310000000000002
28,17.349999999999998
29,18.16
30,19.16
31,20.65
32,19.42
33,18.39
34,18.7
35,19.72
36,20.68
37,19.42
38,18.23
39,18.56
40,18.86
41,19.57
42,19.439999999999998
43,20.27
44,22.09
45,22.03
46,21.47
47,20.28
48,19.869999999999997
49,21.15
50,22.48
51,22.2
52,21.97
53,20.52
54,19.75
55,20.13
56,21.72
57,20.34
58,19.53
59,18.98
60,20.39
61,21.14
62,22.830000000000002
63,23.45
64,22.02
65,20.22
66,18.099999999999998
67,16.43
68,14.74
69,21.58
70,21.86
71,21.63
72,21.64
73,20.44
74,19.08
75,17.91
76,18.72
77,18.96
78,19.48
79,20.150000000000002
80,21.14
81,21.44
82,21.87
83,21.16
84,22.02
85,21.86
86,21.67
87,22.31
88,20.82
89,18.04
90,17.919999999999998
91,18.709999999999997
92,19.03
93,18.490000000000002
94,18.07
95,19.1
96,20.630000000000003
97,21.51
98,22.400000000000002
99,22.17
100,21.55
101,20.24
102,18.68
103,18.459999999999997
104,20.06
105,21.05
106,21.790000000000003
107,21.93
108,21.04
109,20.26
110,19.67
111,18.84
112,17.72
113,18.509999999999998
114,19.72
115,19.39
116,19.71
117,20.11
118,19.82
119,19.45
120,21.15
