Epoch,Accuracy
1,10.57
2,10.0
3,10.0
4,10.0
5,10.0
6,11.87
7,12.9
8,10.14
9,10.0
10,10.0
11,15.229999999999999
12,13.569999999999999
13,15.590000000000002
14,17.299999999999997
15,17.080000000000002
16,15.559999999999999
17,14.6
18,14.069999999999999
19,14.09
20,14.940000000000001
21,15.78
22,16.439999999999998
23,15.83
24,14.360000000000001
25,13.320000000000002
26,15.120000000000001
27,17.95
28,19.12
29,18.48
30,19.0
31,18.88
32,18.68
33,18.72
34,19.15
35,18.15
36,15.809999999999999
37,15.67
38,14.71
39,14.06
40,14.27
41,18.09
42,20.22
43,20.43
44,20.25
45,19.09
46,17.73
47,16.99
48,16.97
49,17.04
50,16.54
51,16.1
52,15.340000000000002
53,14.71
54,15.06
55,16.12
56,18.82
57,20.380000000000003
58,21.39
59,20.880000000000003
60,19.68
61,18.54
62,18.43
63,19.32
64,20.13
65,20.36
66,20.080000000000002
67,19.78
68,19.63
69,19.56
70,18.86
71,18.0
72,17.14
73,15.75
74,15.45
75,15.58
76,17.080000000000002
77,18.04
78,18.75
79,19.61
80,20.27
81,20.23
82,19.85
83,19.5
84,19.29
85,18.02
86,17.31
87,20.169999999999998
88,22.33
89,18.6
90,18.07
91,17.61
92,17.09
93,17.66
94,19.439999999999998
95,20.549999999999997
96,20.41
97,20.919999999999998
98,19.8
99,18.35
100,17.66
101,18.44
102,20.54
103,21.6
104,22.759999999999998
105,24.0
106,24.88
107,24.94
108,24.959999999999997
109,23.27
110,21.43
111,21.19
112,21.12
113,21.57
114,21.77
115,21.77
116,21.08
117,21.08
118,19.16
119,18.83
120,18.82
