Epoch,Accuracy
1,9.82
2,11.35
3,11.35
4,11.360000000000001
5,18.45
6,18.39
7,15.879999999999999
8,15.28
9,21.39
10,20.73
11,16.97
12,16.18
13,18.91
14,19.17
15,17.57
16,21.2
17,15.950000000000001
18,9.82
19,9.82
20,16.31
21,10.100000000000001
22,12.770000000000001
23,12.08
24,10.38
25,12.32
26,22.98
27,18.82
28,11.85
29,12.879999999999999
30,11.84
31,13.73
32,18.68
33,20.82
34,20.24
35,20.62
36,18.61
37,19.06
38,16.05
39,14.75
40,23.03
41,24.11
42,23.68
43,32.43
44,35.099999999999994
45,29.470000000000002
46,28.26
47,15.27
48,11.06
49,19.09
50,16.06
51,24.89
52,20.48
53,27.38
54,25.69
55,11.1
56,10.42
57,10.83
58,28.15
59,18.13
60,18.59
61,16.869999999999997
62,21.14
63,21.63
64,29.409999999999997
65,17.04
66,10.780000000000001
67,10.69
68,19.64
69,23.57
70,27.99
71,21.099999999999998
72,21.23
73,28.73
74,29.080000000000002
75,28.92
76,24.4
77,20.51
78,20.880000000000003
79,24.11
80,36.9
81,36.55
82,38.129999999999995
83,44.75
84,38.73
85,41.49
86,45.22
87,36.18
88,33.07
89,26.119999999999997
90,22.52
91,19.93
92,17.21
93,21.78
94,25.080000000000002
95,26.02
96,36.230000000000004
97,32.11
98,29.439999999999998
99,31.979999999999997
100,30.25
101,28.78
102,25.06
103,29.93
104,34.93
105,39.6
106,46.6
107,42.77
108,39.51
109,36.36
110,35.620000000000005
111,28.910000000000004
112,27.02
113,27.29
114,25.97
115,33.96
116,33.79
117,24.990000000000002
118,16.33
119,13.139999999999999
120,14.2
