Epoch,Accuracy
1,9.58
2,9.58
3,9.74
4,9.74
5,9.8
6,9.8
7,9.8
8,9.58
9,9.58
10,9.58
11,9.55
12,12.17
13,15.479999999999999
14,11.450000000000001
15,16.61
16,9.58
17,9.58
18,9.58
19,9.58
20,9.58
21,9.58
22,18.83
23,12.389999999999999
24,11.35
25,11.61
26,11.35
27,11.35
28,11.35
29,12.13
30,14.49
31,12.479999999999999
32,8.92
33,8.92
34,9.39
35,12.22
36,11.35
37,11.35
38,11.35
39,11.35
40,11.35
41,11.35
42,11.4
43,8.92
44,8.92
45,8.92
46,8.92
47,8.92
48,8.92
49,8.97
50,10.58
51,9.99
52,9.6
53,9.58
54,9.58
55,9.58
56,11.44
57,13.669999999999998
58,11.35
59,11.35
60,11.41
61,11.39
62,11.379999999999999
63,11.360000000000001
64,11.35
65,11.35
66,13.44
67,11.35
68,16.84
69,17.95
70,10.32
71,15.299999999999999
72,25.509999999999998
73,19.91
74,19.77
75,23.29
76,24.33
77,15.14
78,13.200000000000001
79,11.360000000000001
80,11.49
81,24.19
82,10.97
83,25.45
84,27.02
85,26.119999999999997
86,19.759999999999998
87,9.950000000000001
88,10.01
89,23.91
90,23.150000000000002
91,14.13
92,16.150000000000002
93,18.060000000000002
94,19.439999999999998
95,23.369999999999997
96,22.74
97,23.169999999999998
98,17.06
99,18.42
100,19.24
101,22.220000000000002
102,21.29
103,19.34
104,23.86
105,25.2
106,21.11
107,21.26
108,26.41
109,25.64
110,26.63
111,24.21
112,23.69
113,24.41
114,22.96
115,18.52
116,18.13
117,18.42
118,18.68
119,17.44
120,19.25
