Epoch,Accuracy
1,9.58
2,11.559999999999999
3,9.74
4,9.790000000000001
5,9.58
6,9.74
7,9.8
8,9.8
9,9.8
10,9.58
11,9.58
12,10.09
13,9.58
14,9.58
15,9.58
16,9.58
17,9.58
18,9.58
19,12.06
20,12.07
21,18.709999999999997
22,14.81
23,18.27
24,15.939999999999998
25,19.05
26,18.9
27,18.83
28,19.05
29,16.89
30,18.759999999999998
31,18.0
32,18.27
33,18.58
34,17.4
35,17.79
36,15.09
37,13.0
38,12.94
39,15.709999999999999
40,14.89
41,17.29
42,17.37
43,18.6
44,18.3
45,17.57
46,12.43
47,12.93
48,15.959999999999999
49,11.33
50,8.76
51,18.310000000000002
52,19.34
53,20.02
54,18.15
55,18.5
56,15.790000000000001
57,12.9
58,13.350000000000001
59,12.709999999999999
60,14.39
61,17.48
62,17.0
63,10.8
64,11.48
65,10.280000000000001
66,10.79
67,10.79
68,9.700000000000001
69,8.98
70,8.92
71,9.5
72,9.29
73,8.92
74,8.97
75,8.92
76,8.97
77,9.39
78,10.280000000000001
79,16.82
80,16.869999999999997
81,15.920000000000002
82,18.5
83,17.49
84,18.85
85,18.77
86,19.33
87,16.68
88,21.060000000000002
89,18.35
90,23.56
91,22.34
92,20.26
93,19.89
94,20.66
95,23.29
96,23.79
97,24.6
98,20.830000000000002
99,21.759999999999998
100,19.3
101,23.01
102,24.91
103,24.709999999999997
104,26.06
105,27.529999999999998
106,29.099999999999998
107,29.439999999999998
108,29.220000000000002
109,25.509999999999998
110,19.470000000000002
111,15.53
112,18.72
113,17.18
114,18.86
115,21.39
116,19.07
117,17.96
118,18.66
119,22.41
120,21.23
